File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District
MOD13A3_006__1_km_monthly_EVI_doy2000032_aid0001,_1_km_monthly_EVI,aid0001,01/02/2000,6349,0.0429,0.5749,"(0.0429,0.5749)",0.2148313,0.0921599,0.0084935,0.2622,0.4363,0.1753,0.0429,0.1461,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2001001_aid0001,_1_km_monthly_EVI,aid0001,01/01/2001,6352,0.0863,0.602,"(0.0863,0.602)",0.2260425,0.0907718,0.0082395,0.27255,0.4449,0.18965,0.0863,0.1576,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2001032_aid0001,_1_km_monthly_EVI,aid0001,01/02/2001,6352,0.0664,0.6411,"(0.0664,0.6411)",0.218823,0.1017398,0.010351,0.2617,0.4368,0.1756,0.0664,0.1449,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2002001_aid0001,_1_km_monthly_EVI,aid0001,01/01/2002,6352,0.0897,0.6378,"(0.0897,0.6378)",0.2216874,0.0941211,0.0088588,0.271225,0.4538,0.1825,0.0897,0.1495,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2002032_aid0001,_1_km_monthly_EVI,aid0001,01/02/2002,6352,0.066,0.6401,"(0.066,0.6401)",0.2315654,0.1138304,0.0129573,0.2855,0.4957,0.18475,0.066,0.1453,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2003001_aid0001,_1_km_monthly_EVI,aid0001,01/01/2003,6352,0.0555,0.6383,"(0.0555,0.6383)",0.1916352,0.1012159,0.0102447,0.2245,0.3722,0.1443,0.0555,0.1257,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2003032_aid0001,_1_km_monthly_EVI,aid0001,01/02/2003,6352,0.0536,0.6672,"(0.0536,0.6672)",0.1885465,0.1158169,0.0134136,0.226325,0.3967,0.1296,0.0536,0.1127,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2004001_aid0001,_1_km_monthly_EVI,aid0001,01/01/2004,6352,0.0688,0.606,"(0.0688,0.606)",0.238486,0.1071153,0.0114737,0.3201,0.577,0.20825,0.0688,0.1428,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2004032_aid0001,_1_km_monthly_EVI,aid0001,01/02/2004,6352,0.0682,0.6254,"(0.0682,0.6254)",0.241999,0.1159683,0.0134486,0.3307,0.6139,0.20655,0.0682,0.138,Karauli
MOD13A3_006__1_km_monthly_EVI_doy2005001_aid0001,_1_km_monthly_EVI,aid0001,01/01/2005,6352,0.0512,0.5859,"(0.0512,0.5859)",0.2539873,0.1123909,0.0126317,0.345225,0.5859,0.2201,0.0512,0.154,Karauli
