,January,February,District,Year,Oct_District,October,Oct_Year,November,December
0,0.1570831,0.1517493,AJMER,2001,AJMER,0.1900774,2001,0.1648819,0.1634162
1,0.1673484,0.1669066,AJMER,2002,AJMER,0.1482825,2002,0.1322627,0.1253946
2,0.12523,0.1237848,AJMER,2003,AJMER,0.2007556,2003,0.1642926,0.1603636
3,0.1596708,0.1542734,AJMER,2004,AJMER,0.212387,2004,0.1687169,0.1686742
4,0.1697229,0.1580453,AJMER,2005,AJMER,0.2457541,2005,0.1807539,0.1769621
5,0.1699575,0.1583979,AJMER,2006,AJMER,0.2269879,2006,0.1791477,0.1763389
6,0.171955,0.1648242,AJMER,2007,AJMER,0.219661,2007,0.1763691,0.168689
7,0.1603159,0.1552668,AJMER,2008,AJMER,0.1963091,2008,0.1707603,0.1679418
8,0.1617525,0.1486656,AJMER,2009,AJMER,0.1680989,2009,0.139839,0.1331753
9,0.1332716,0.1221532,AJMER,2010,AJMER,0.2700338,2010,0.1911432,0.1627221
10,0.1332716,0.1221532,AJMER,2010,AJMER,0.2700338,2010,0.1911432,0.1627221
11,0.1332716,0.1221532,AJMER,2010,AJMER,0.2700338,2010,0.1911432,0.1627221
12,0.1332716,0.1221532,AJMER,2010,AJMER,0.2700338,2010,0.1911432,0.1627221
13,0.1894979,0.2253176,AJMER,2011,AJMER,0.2480718,2011,0.2037313,0.2055931
14,0.2089741,0.1993074,AJMER,2012,AJMER,0.2913548,2012,0.1998994,0.2041931
15,0.2196468,0.2414096,AJMER,2013,AJMER,0.2640612,2013,0.2187848,0.2248563
16,0.2355814,0.2607217,AJMER,2014,AJMER,0.259989,2014,0.2085001,0.2120852
17,0.2168114,0.2157206,AJMER,2015,AJMER,0.2189797,2015,0.1856947,0.1893758
18,0.1976056,0.1887719,AJMER,2016,AJMER,0.2334498,2016,0.207726,0.2221902
19,0.2502778,0.2239161,AJMER,2017,AJMER,0.2159251,2017,0.1960208,0.1971067
20,0.2018503,0.1870265,AJMER,2018,AJMER,0.288783,2018,0.2029224,0.1973
21,0.1964257,0.2039015,AJMER,2019,AJMER,0.2769071,2019,0.2139677,0.2268106
22,0.3005362,0.3252631,ALWAR,2001,ALWAR,0.1670613,2001,0.1519272,0.2151637
23,0.3008997,0.345825,ALWAR,2002,ALWAR,0.1660626,2002,0.1411428,0.2068053
24,0.2813064,0.3496663,ALWAR,2003,ALWAR,0.2274094,2003,0.2032061,0.283754
25,0.3451979,0.3429567,ALWAR,2004,ALWAR,0.204157,2004,0.2050011,0.3106173
26,0.3561031,0.3546686,ALWAR,2005,ALWAR,0.2278968,2005,0.2167462,0.2715088
27,0.3275302,0.3236384,ALWAR,2006,ALWAR,0.2028181,2006,0.1768508,0.2538669
28,0.3362613,0.3481001,ALWAR,2007,ALWAR,0.2124857,2007,0.1689548,0.2710643
29,0.3171727,0.340254,ALWAR,2008,ALWAR,0.2126745,2008,0.2264927,0.2996626
30,0.351836,0.3427405,ALWAR,2009,ALWAR,0.2064381,2009,0.1823122,0.285011
