,Train_y,Train_DT,Train_RF,Train_NL,Train_SVR,Train_ANN
5,1.329723072,1.329723072,2.133143505992154,2.2220917642110933,2.092977795896889,2.314845
409,3.127593845,3.2316114395,3.0766127579319487,3.1409618693392467,2.5986424204485665,3.0367842
185,1.804273135,2.155069808392857,2.1988403731249435,2.3025940026727287,2.2722442014827493,2.453227
290,3.6233257610000003,3.4994052576666665,3.5853733802101497,3.3675661254837,3.5988318199271037,3.7686567
382,2.355714249,2.355714249,2.2984224284903134,2.4901671472207134,2.3213305632540866,2.3887434
254,2.499012099,2.4593242282978727,2.375161961010929,2.2984774887987527,2.476517340221445,2.8718061
180,1.5562489959999999,2.208149763,2.08160898386278,2.175165810107206,2.194728092775261,2.2008162
97,2.308897905,2.155069808392857,2.3366944651344217,2.1218229482549216,2.2860802138997016,2.3583174
193,3.1786085219999998,3.2035801724999997,3.16664312385122,3.335538681339738,3.6141438488134376,4.0911665
367,2.9231914469999998,3.200474246714286,3.186724197329054,3.0309438019374237,3.276093579474617,3.4579878
103,1.764545016,1.6639043496666668,2.2837942262714748,2.1961149575302272,2.3436741989969967,2.4370222
397,2.637983955,2.4593242282978727,2.4409897201000614,2.462386773201912,2.4433428862775237,2.6901655
368,3.268746005,3.2711161129999997,3.4834807491771764,3.183895173191104,3.4254249012635505,3.6000776
377,2.421830078,2.421830078,2.1902620469949934,2.1725532092425244,2.0655963590254274,2.0291777
307,2.2921784730000003,2.4593242282978727,2.375161961010929,2.3802748906836086,2.6101111799736145,2.9586592
79,2.58508916,2.58508916,2.69323701404017,2.561092253948587,2.8712093027769416,3.1052656
24,3.0893784330000003,3.0893784330000003,3.338036994246847,3.414415011907968,3.609355814957186,4.053691
65,4.1247476789999995,4.0432713819999995,3.794190708314876,3.7627338955616985,3.625128858909823,4.3552046
114,2.9247559639999996,2.9247559639999996,3.0315068672731287,3.0179314263142984,3.3429750793645745,3.47935
224,1.7940554380000002,1.7940554380000002,1.6678131999668937,2.170591410950353,2.031606795871639,1.9658688
207,2.401708625,2.401708625,2.265996943419695,2.0924893846379984,2.0736108324987796,2.011447
131,4.462953299,4.462953299,4.277349711377719,4.13096005879523,3.868924334117552,4.706767
375,1.684189775,1.684189775,1.9864011372622152,2.143292449005438,2.0704235736253516,2.0066557
154,3.162860092,3.304078659285714,3.199176033308601,3.0433882328155892,3.2242144656300997,3.460185
333,2.742156787,2.6880340895714285,2.4406776332187947,2.598293823986751,2.242546102659258,2.498973
373,3.320369402,3.200474246714286,3.215753938997996,3.0785356543831366,3.243492093247273,3.425395
286,2.8663571,2.4593242282978727,2.8417734542789588,2.8787672124755694,2.745157883853583,3.164836
295,4.228811838,4.3110013635,4.074670697377416,3.838660305948414,3.6168253698722146,4.4489546
208,2.7930642910000003,2.7763439528333334,2.384281961220145,2.165619252051819,2.0956048254289072,2.356059
386,2.714554142,2.869181014,2.4331330340867825,2.5699010823881157,2.3526667334756155,2.4466658
177,1.834980237,2.155069808392857,2.1436604592333697,2.1691485045926804,2.260726339179037,2.2861433
401,2.501679507,2.4593242282978727,2.6811965915450475,2.8289862444621114,2.664521189146157,2.9837446
165,3.5996102039999998,3.4994052576666665,3.682023574322349,3.532658070323073,3.5586617112184404,3.7070112
166,3.8136187039999996,3.8589916289999997,3.7765077937977223,3.494063286908734,3.5716608971265913,3.7566938
104,2.9503052210000003,2.9503052210000003,2.6755077221961088,2.4076442431396057,2.967406460196777,3.1658735
391,2.89663814,2.7522311875714287,2.502128047195259,2.660461211981211,2.3810743503303478,2.4744978
195,3.5617256719999997,3.5617256719999997,3.4968083390183993,3.4837661671465803,3.9576035205679716,4.7106733
135,2.7939663439999998,2.7763439528333334,2.363815999053763,2.081428189064436,2.095877540632216,2.4444685
274,4.2460684980000005,4.2460684980000005,3.866971364610113,3.9200625615898907,3.5429413394810414,3.6192427
202,4.168860917,4.05747996725,4.069580812984398,4.164327677592713,3.964684310881399,6.0908003
305,2.699965226,2.4593242282978727,2.4784482600785056,2.437568028030263,2.7990683611431386,3.1013594
73,4.44757959,4.44757959,4.256353691006634,4.100125975333535,4.0399289160242775,4.7631636
40,1.480886819,1.480886819,2.079573477926657,1.8949090565612607,2.249810363018529,2.384471
425,2.456272875,2.4593242282978727,2.5566915170819433,2.68524816443672,2.6814329041499434,3.1187544
268,3.277459595,3.277459595,3.0255182281591346,3.0057607592769884,2.6269638574886827,2.989421
415,2.287747269,2.208149763,2.257454681314281,2.222146516592961,2.1219176109631093,2.3823652
175,1.61175678,2.208149763,2.1228937820668583,2.107721214832294,2.192190824712842,2.1944227
403,2.673270551,2.4593242282978727,2.4954969078042653,2.7182782986868084,2.373796480103085,2.8242598
69,4.363411087,4.3110013635,4.038754070340787,3.8610667196958914,3.677712831114329,4.4692183
251,2.0225954280000003,2.155069808392857,2.301344380800825,2.2004491705670333,2.261522691239154,2.3885298
407,3.423890715,3.423890715,3.1535049322991324,3.221317142377826,2.789426700362414,3.241313
32,3.964074042,4.05747996725,4.0684010526007715,4.179603149738131,4.172678520573442,5.298564
3,1.95531373,2.208149763,2.2116778906201437,2.1993589112090373,2.1352552436838472,2.3144941
13,3.447732143,3.447732143,2.934886484056695,2.918579678533307,2.7538527935026043,3.1386518
186,2.081190942,2.155069808392857,2.26700001295671,2.3108650155826407,2.340210567416708,2.4177961
70,4.306820086,4.306820086,4.152256089423195,4.2317472894310875,3.8997124636846925,4.738261
289,3.634388297,3.634388297,3.5320198343651033,3.2297750273501666,3.294235434772311,3.413066
318,2.543518761,2.7522311875714287,2.4132502591562823,2.5725139236016563,2.6181169876672,2.9452925
420,2.327327479,2.4593242282978727,2.566721281489974,2.568922834628495,2.7118663153884697,3.036479
298,3.904364554,3.8589916289999997,3.9065909942782415,3.687722505699899,3.615692088617686,4.0352583
394,1.539416556,1.539416556,2.1727970359779802,2.3974570561900705,2.380484673166741,2.5186872
194,3.1348271239999996,3.0842065539999997,3.059967055920359,3.312646237311464,3.705169946673935,4.4311323
346,3.483942143,3.483942143,3.2645177834200467,3.1984351063607335,2.858435134640281,3.5426435
374,3.8610003839999996,3.7966893475,3.4043566713670206,3.2224310859269334,3.4033948216029124,3.543315
253,1.967783909,2.155069808392857,2.2838857441790332,2.23783305773013,2.280883461403885,2.317851
225,1.802715047,1.802715047,1.6265550162285096,2.1622796865938145,2.023661641639425,1.8785733
90,3.05980589,2.970855037,3.013870961649727,2.7878310613600767,3.185330349779969,3.3846235
299,4.398223214,4.398223214,4.304754450593502,3.983295565132048,3.7605946951200826,4.465556
110,2.4973185019999997,2.4973185019999997,2.590336123494953,2.575191043192019,3.227728696378609,3.3466597
233,2.866320413,2.9701361976666667,2.628968154008032,2.7061436785954296,2.614682442993324,2.9917402
337,1.686058281,1.686058281,2.3295121918425465,2.5840738215544867,2.3924063464005236,2.545909
138,1.703423744,1.6555502560000002,2.0767187744860096,2.1175645357459754,2.0751755002158134,2.0942411
234,2.7830981130000003,2.9701361976666667,2.596799299864706,2.7853354554761776,2.6110627736880154,3.2026777
308,2.1622329280000003,2.4593242282978727,2.4222524770385316,2.382094020526111,2.6179378774609816,3.0116987
406,3.419482265,3.4994052576666665,3.3156442583954004,3.1471345550738192,2.848102012246944,3.161296
427,2.5155174430000002,2.4593242282978727,2.664614629874923,2.7097584621598134,2.7550802093684084,3.0464277
137,2.761522672,2.7763439528333334,2.313005704494133,2.120529596547195,2.1435157075330267,2.3579206
163,3.710979937,3.744113017,3.6764525618628214,3.3765280689009973,3.466486630541567,3.645976
100,2.6093047,2.4593242282978727,2.4414365384255357,2.2225539948841675,2.4981935694962196,2.8599653
296,4.011390644,4.05747996725,4.062121872037415,3.8935551148985503,3.626938320770277,4.348857
52,2.2165999480000003,2.2165999480000003,2.349771853617424,2.3999619663596015,2.7660290721208227,3.0509443
240,3.134963655,3.111723361,3.550899606502631,3.3045556136411776,3.5094186418189866,3.5773726
88,3.602517957,3.4994052576666665,3.5132302520026646,3.1341646976376403,3.619863123884967,3.9766645
371,3.500211192,3.4854543535,3.2969464480352593,3.1556435746408216,3.4097090850063765,3.543315
189,2.458908155,2.458908155,2.593737840383049,2.933129558427069,3.6142508937630344,4.165019
34,3.645008943,3.645024396,3.918502887858277,4.016190652518397,4.161717079363903,5.0336714
302,2.005461746,2.005461746,2.3238758084119455,2.3244988454304707,2.7099478219084148,3.0298872
45,2.019779518,2.0152978913333333,2.2500272837575173,2.225442578668188,2.705356487440156,3.0149946
35,4.3651044610000005,4.3581661055000005,4.1586502696322984,4.322871766209245,4.0143657382289755,5.510234
94,1.099493909,1.099493909,1.9860852876509012,2.0375301825663996,2.161246609973741,2.2353468
301,4.691279511,4.691279511,4.3936654633584755,4.337711009948066,3.895651666914521,4.7524214
187,2.317186616,2.7522311875714287,2.392397050497193,2.3568266729546945,2.388514895171923,2.5680647
300,4.1706199680000005,4.1706199680000005,4.092650414664741,3.8008361361630065,3.6077446415954046,4.2128706
219,1.301176996,1.3229709131666667,1.5954164327503488,2.157995895877251,2.0372007918174937,2.0061522
1,1.8235421530000002,1.6639043496666668,2.342335251110018,2.262285912839328,2.2593894229644746,2.3407698
159,3.177005106,3.4994052576666665,3.3337907267704376,3.151876594231126,3.034321536198947,3.3329878
332,2.355268948,2.6880340895714285,2.4065573497743156,2.581922954762277,2.236810749672351,2.2889204
93,3.732378311,3.7966893475,3.428620441325394,3.081981450076574,3.472029795990508,3.6454878
281,4.237294653,4.237294653,3.8134042011159006,3.7403764878332346,3.395456394842677,3.5752974
277,3.75453739,3.6985738141999995,3.7161364668514767,3.780713135948915,3.3691753842210463,3.562724
156,3.417773882,3.304078659285714,3.2484213930873524,3.0027920546934386,3.0544525302154373,3.2328901
113,2.498202323,2.498202323,2.825098497443481,2.831011121400552,3.1062236024656347,3.3429976
71,3.6450398489999998,3.645024396,4.0302377121674535,4.011677635498712,3.712489201094095,4.4611616
203,3.650898663,3.650898663,3.8179690613746624,3.8636384654729294,4.020917016795208,5.5185347
12,3.31703697,3.200474246714286,3.013107300406733,2.926290299451658,2.889625147416444,3.1844282
149,2.188270775,2.155069808392857,2.3879309874514374,2.3915910656811192,2.2503270167478675,2.3557844
239,3.088483067,3.111723361,3.4847119463085203,3.3799250221666153,3.4352967350920025,3.5423384
