,Oct_Minimum,Oct_Maximum,Oct_Mean,Oct_Standard Deviation,Oct_Variance,Oct_Upper Quartile,Oct_Upper 1.5 IQR,Oct_Median,Oct_Lower 1.5 IQR,Oct_Lower Quartile,Oct_District,Oct_Year,Nov_Minimum,Nov_Maximum,Nov_Mean,Nov_Standard Deviation,Nov_Variance,Nov_Upper Quartile,Nov_Upper 1.5 IQR,Nov_Median,Nov_Lower 1.5 IQR,Nov_Lower Quartile,Nov_District,Nov_Year,Dec_Minimum,Dec_Maximum,Dec_Mean,Dec_Standard Deviation,Dec_Variance,Dec_Upper Quartile,Dec_Upper 1.5 IQR,Dec_Median,Dec_Lower 1.5 IQR,Dec_Lower Quartile,Dec_District,Dec_Year
0,-0.058,0.4077,0.2078318,0.0427294,0.0018258,0.2308,0.3035,0.2063,0.1116,0.182,Karauli,2000,-0.0491,0.3635,0.1615991,0.0223371,0.0004989,0.1738,0.2132,0.1605,0.1085,0.1475,Karauli,2000,0.0187,0.4989,0.1856543,0.0479522,0.0022994,0.1984,0.2618,0.1724,0.0939,0.1561,Karauli,2000
1,0.0015,0.3207,0.1759756,0.0292164,0.0008536,0.192925,0.2459,0.1753,0.1058,0.1576,Karauli,2001,0.057,0.2795,0.1579883,0.0227227,0.0005163,0.1697,0.2085,0.156,0.1053,0.1438,Karauli,2001,0.0638,0.4379,0.1753907,0.0477377,0.0022789,0.1924,0.2663,0.1596,0.0794,0.1431,Karauli,2001
2,0.0358,0.3349,0.1635845,0.0287062,0.000824,0.1779,0.2281,0.1598,0.093,0.1439,Karauli,2002,0.0615,0.2335,0.1403957,0.0187244,0.0003506,0.151,0.1865,0.1378,0.0926,0.1273,Karauli,2002,0.0755,0.6184,0.1703901,0.0725499,0.0052635,0.1795,0.2536,0.1454,0.0755,0.13,Karauli,2002
3,-0.0359,0.4279,0.2210857,0.0453029,0.0020524,0.24935,0.3387,0.2193,0.1048,0.1897,Karauli,2003,-0.0344,0.4042,0.1869669,0.031557,0.0009958,0.204525,0.263,0.1841,0.1094,0.1654,Karauli,2003,0.053,0.5156,0.2185602,0.0651226,0.004241,0.249325,0.3674,0.2027,0.053,0.1706,Karauli,2003
4,-0.083,0.3744,0.2041709,0.0431242,0.0018597,0.2337,0.3213,0.2048,0.0902,0.175175,Karauli,2004,-0.0465,0.5327,0.1921912,0.0427925,0.0018312,0.2108,0.2805,0.1858,0.0951,0.1642,Karauli,2004,0.0643,0.5522,0.2348646,0.0878037,0.0077095,0.297,0.4968,0.20755,0.0643,0.1635,Karauli,2004
5,-0.065,0.3824,0.201557,0.043367,0.0018807,0.2294,0.312,0.2039,0.0934,0.1741,Karauli,2005,-0.0311,0.4146,0.1944781,0.0405563,0.0016448,0.214,0.285,0.18675,0.0969,0.1666,Karauli,2005,0.0544,0.5542,0.2242449,0.0734875,0.0054004,0.2786,0.452,0.20635,0.0544,0.161,Karauli,2005
6,0.0565,0.3263,0.1699304,0.027256,0.0007429,0.1859,0.2362,0.1694,0.1021,0.1523,Karauli,2006,0.0217,0.3885,0.1712976,0.0331427,0.0010984,0.184325,0.2365,0.16435,0.0978,0.1495,Karauli,2006,0.0541,0.4708,0.1947204,0.0639549,0.0040902,0.2339,0.3695,0.1749,0.0541,0.1427,Karauli,2006
7,-0.069,0.3618,0.1860562,0.0331053,0.001096,0.2046,0.2664,0.1824,0.1055,0.1634,Karauli,2007,0.0381,0.2726,0.1583196,0.0215944,0.0004663,0.1699,0.2094,0.156,0.105,0.1435,Karauli,2007,0.0301,0.552,0.1978356,0.0737813,0.0054437,0.2241,0.3412,0.1732,0.0301,0.146,Karauli,2007
8,0.0513,0.3789,0.2095184,0.0396103,0.001569,0.2341,0.3074,0.2107,0.1124,0.185175,Karauli,2008,0.0729,0.477,0.2145128,0.0420685,0.0017698,0.2335,0.3047,0.2057,0.1191,0.186,Karauli,2008,0.0624,0.4957,0.2422616,0.0827012,0.0068395,0.312625,0.4957,0.21855,0.0624,0.168475,Karauli,2008
9,-0.0446,0.3867,0.2296893,0.0428424,0.0018355,0.257225,0.338,0.2295,0.1215,0.2028,Karauli,2009,0.0638,0.4913,0.2079554,0.036255,0.0013144,0.2267,0.2915,0.205,0.1196,0.1834,Karauli,2009,0.1115,0.5753,0.2629625,0.0820737,0.0067361,0.320525,0.5041,0.243,0.1115,0.196,Karauli,2009
