,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Month
1,6352,0.0664,0.6411,0.218823,0.1017398,0.010351,0.2617,0.4368,0.1756,0.0664,0.1449,KARAULI,2001,Rabi       ,61886,118884,1.9210160617910352,02
3,6352,0.066,0.6401,0.2315654,0.11383039999999998,0.012957299999999998,0.2855,0.4957,0.18475,0.066,0.1453,KARAULI,2002,Rabi       ,55324,174640,3.1566770298604583,02
5,6352,0.0536,0.6672,0.18854649999999998,0.11581689999999999,0.0134136,0.226325,0.3967,0.1296,0.0536,0.1127,KARAULI,2003,Rabi       ,52941,131287,2.479873821801628,02
7,6352,0.0682,0.6254,0.241999,0.1159683,0.0134486,0.3307,0.6139,0.20655,0.0682,0.138,KARAULI,2004,Rabi       ,63492,231030,3.6387261387261383,02
9,6352,0.0505,0.6241,0.23542710000000003,0.10963230000000002,0.0120192,0.307025,0.5489999999999999,0.2006,0.0505,0.1425,KARAULI,2005,Rabi       ,50984,167098,3.277459595167111,02
11,6352,0.0637,0.6363,0.2344114,0.10661110000000001,0.0113659,0.2959,0.5227,0.2001,0.0637,0.144675,KARAULI,2006,Rabi       ,51891,170279,3.281474629511861,02
13,6352,0.0697,0.5734,0.20779650000000002,0.106776,0.0114011,0.258875,0.4522,0.15755,0.0697,0.1299,KARAULI,2007,Rabi       ,53423,163549,3.0613967766692247,02
15,6352,0.0904,0.6365,0.228751,0.11745839999999998,0.0137965,0.28785,0.5139,0.1832,0.0904,0.1369,KARAULI,2008,Rabi       ,56952,192121,3.373384604579295,02
17,6352,0.0601,0.5657,0.23132660000000002,0.0913619,0.008347,0.29625,0.5085,0.2076,0.0601,0.1502,KARAULI,2009,Rabi       ,62737,228085,3.6355739037569537,02
19,6352,0.0794,0.6045,0.24431109999999998,0.1105026,0.012210799999999999,0.3291,0.6045,0.21665,0.0794,0.1433,KARAULI,2010,Rabi       ,73134,285650,3.9058440670549954,02
21,6352,0.1032,0.6611,0.30980749999999996,0.141103,0.0199101,0.429425,0.6611,0.28275,0.1032,0.174175,KARAULI,2011,Rabi       ,86163,365854,4.246068498079222,02
23,6352,0.0561,0.6136,0.24667600000000003,0.10863239999999999,0.011801,0.324825,0.5825,0.2238,0.0561,0.1443,KARAULI,2012,Rabi       ,75295,296883,3.942931137525732,02
25,6352,0.0754,0.6778,0.2930325,0.1235743,0.015270600000000002,0.390025,0.6778,0.26505,0.0754,0.1794,KARAULI,2013,Rabi       ,78348,306585,3.9131183948537296,02
27,6352,0.0768,0.6817,0.30596290000000004,0.13518329999999998,0.0182745,0.4243,0.6817,0.2917,0.0768,0.1697,KARAULI,2014,Rabi       ,83418,313196,3.754537390011748,02
29,6352,0.0912,0.6455,0.2772292,0.1285337,0.0165209,0.3819,0.6455,0.25,0.0912,0.1556,KARAULI,2015,Rabi       ,85169,308964,3.6276579506628,02
31,6352,0.075,0.6249,0.2538503,0.1317829,0.0173667,0.352725,0.6249,0.2075,0.075,0.1372,KARAULI,2016,Rabi       ,78974,279286,3.536429711044141,02
33,6352,0.0805,0.6279,0.2817118,0.12483810000000001,0.0155846,0.38785,0.6279,0.26835,0.0805,0.1582,KARAULI,2017,Rabi       ,89193,360710,4.044151446862422,02
35,6352,0.08900000000000001,0.6223,0.2493221,0.1309239,0.017141099999999996,0.3407,0.6223,0.1956,0.08900000000000001,0.1407,KARAULI,2018,Rabi       ,75421,319581,4.23729465268294,02
37,6352,0.0947,0.6872,0.309469,0.14333729999999997,0.020545599999999997,0.43305,0.6872,0.2912,0.0947,0.1657,KARAULI,2019,Rabi       ,77846,346048,4.445289417568018,02
39,6893,0.0494,0.6049,0.2592663,0.1142782,0.0130595,0.355,0.6049,0.2291,0.0494,0.1568,KOTA,2001,Rabi       ,96156,241324,2.509713382420234,02
41,6893,0.02,0.6475,0.2901344,0.13248189999999999,0.0175514,0.4066,0.6475,0.2593,0.02,0.1697,KOTA,2002,Rabi       ,79144,227185,2.8705271404023045,02
43,6893,-0.0376,0.6312,0.23080860000000003,0.11942960000000001,0.014263399999999999,0.2979,0.5374,0.1826,-0.0376,0.1379,KOTA,2003,Rabi       ,50311,141770,2.8178728309912344,02
45,6893,0.0622,0.6327,0.2844667,0.13135020000000003,0.0172529,0.4017,0.6327,0.2499,0.0622,0.1651,KOTA,2004,Rabi       ,66760,191358,2.8663571000599157,02
47,6893,0.0396,0.6351,0.2981062,0.1325252,0.017562900000000003,0.4161,0.6351,0.2786,0.0396,0.1745,KOTA,2005,Rabi       ,64902,220058,3.3906197035530488,02
49,6893,0.0556,0.6034,0.2839348,0.12603150000000002,0.0158839,0.4001,0.6034,0.2565,0.0556,0.1661,KOTA,2006,Rabi       ,64753,209469,3.234892591849026,02
51,6893,0.0297,0.6413,0.2738722,0.1125934,0.012677299999999999,0.3618,0.6413,0.2581,0.0297,0.1742,KOTA,2007,Rabi       ,81551,296388,3.634388296893968,02
53,6893,0.0536,0.635,0.303732,0.1434942,0.020590599999999997,0.431,0.635,0.2803,0.0536,0.1688,KOTA,2008,Rabi       ,110050,398747,3.62332576101772,02
55,6893,0.0654,0.6036,0.2901507,0.1252462,0.015686600000000002,0.3976,0.6036,0.2757,0.0654,0.1735,KOTA,2009,Rabi       ,86611,320290,3.698029118703167,02
57,6893,0.0786,0.625,0.28257550000000003,0.13242179999999998,0.0175355,0.3928,0.625,0.2561,0.0786,0.1637,KOTA,2010,Rabi       ,91999,325222,3.535060163697432,02
59,6893,0.0903,0.6951,0.333424,0.158084,0.0249905,0.4694,0.6951,0.3097,0.0903,0.1862,KOTA,2011,Rabi       ,115280,411409,3.5687803608605133,02
61,6893,0.051,0.6307,0.3205322,0.129277,0.0167125,0.4319,0.6307,0.3216,0.051,0.1986,KOTA,2012,Rabi       ,111785,467738,4.18426443619448,02
63,6893,0.0843,0.6779999999999999,0.3579792,0.15372579999999997,0.0236316,0.496,0.6779999999999999,0.3472,0.0843,0.2129,KOTA,2013,Rabi       ,127996,541271,4.228811837869934,02
65,6893,0.0134,0.7483,0.40175,0.1791053,0.0320787,0.5585,0.7483,0.4054,0.0134,0.2325,KOTA,2014,Rabi       ,138008,553604,4.011390644020636,02
67,6893,-0.0207,0.6592,0.35390040000000006,0.1530963,0.023438499999999998,0.4897,0.6592,0.3559,-0.0207,0.2141,KOTA,2015,Rabi       ,135748,279120,2.056162890060995,02
69,6893,0.0632,0.7013,0.33980720000000003,0.1463799,0.021427099999999998,0.4709,0.7013,0.337,0.0632,0.1989,KOTA,2016,Rabi       ,120081,468840,3.9043645539261003,02
71,6893,0.052000000000000005,0.6857,0.358873,0.1505319,0.0226599,0.4991,0.6857,0.3576,0.052000000000000005,0.2147,KOTA,2017,Rabi       ,141604,622806,4.398223214033502,02
73,6893,0.069,0.6457,0.33236540000000003,0.15104089999999998,0.022813299999999998,0.4686,0.6457,0.3248,0.069,0.188,KOTA,2018,Rabi       ,120490,502518,4.1706199684621135,02
75,6893,0.0547,0.7316,0.40448590000000006,0.16902899999999998,0.028570799999999997,0.5613,0.7316,0.4123,0.0547,0.2427,KOTA,2019,Rabi       ,142148,666856,4.691279511495061,02
77,21134,0.0268,0.5265,0.1454615,0.0624351,0.0038981000000000003,0.1673,0.2648,0.1226,0.0268,0.1023,NAGAUR,2001,Rabi       ,91912,184326,2.00546174601793,02
79,21134,-0.0424,0.5152,0.1515338,0.0697434,0.0048641000000000005,0.170475,0.2658,0.1247,0.0155,0.1068,NAGAUR,2002,Rabi       ,69514,179307,2.5794372356647584,02
81,21134,-0.0536,0.5619,0.1345689,0.07098739999999999,0.0050392,0.1512,0.2432,0.1072,0.0052,0.0898,NAGAUR,2003,Rabi       ,85412,189465,2.218248021355313,02
83,21133,-0.0684,0.5341,0.1644631,0.076891,0.0059122,0.1891,0.3045,0.1359,-0.001,0.1121,NAGAUR,2004,Rabi       ,74768,201871,2.6999652257650335,02
85,21134,0.0225,0.5092,0.156801,0.0832837,0.006936199999999999,0.185575,0.3155,0.1231,0.0225,0.0989,NAGAUR,2005,Rabi       ,69640,141396,2.0303848363009767,02
87,21134,0.0325,0.5157,0.15076470000000003,0.0683824,0.0046762,0.170175,0.2668,0.1237,0.0325,0.1057,NAGAUR,2006,Rabi       ,71316,163469,2.2921784732738795,02
89,21134,0.0101,0.5159,0.1438511,0.080364,0.0064584,0.1624,0.2675,0.1163,0.0101,0.0923,NAGAUR,2007,Rabi       ,76384,165160,2.162232928361961,02
91,21134,0.0234,0.534,0.15392820000000002,0.0785034,0.0061628,0.1684,0.2635,0.1241,0.0234,0.105,NAGAUR,2008,Rabi       ,79567,161304,2.02727261301796,02
93,21134,-0.0519,0.5564,0.1456589,0.069069,0.0047705,0.1591,0.2435,0.1226,0.0225,0.1028,NAGAUR,2009,Rabi       ,67100,173274,2.582324888226528,02
95,21134,0.0243,0.5331,0.13726839999999998,0.07218939999999999,0.0052113,0.1476,0.2277,0.1088,0.0243,0.0942,NAGAUR,2010,Rabi       ,77165,194171,2.5163092075422795,02
97,21130,-0.0734,0.5461,0.1750421,0.08561239999999999,0.0073295,0.2139,0.3705,0.1495,-0.0391,0.1095,NAGAUR,2011,Rabi       ,77362,194987,2.520449316201753,02
99,21134,-0.026000000000000002,0.5117,0.15668089999999998,0.0566125,0.0032049999999999995,0.1679,0.2313,0.1411,0.0629,0.1256,NAGAUR,2012,Rabi       ,56807,142524,2.5089161546992447,02
101,21115,-0.077,0.5931,0.1739037,0.08474730000000001,0.007182099999999999,0.2048,0.3377,0.146,-0.0167,0.1161,NAGAUR,2013,Rabi       ,83768,212344,2.534905930665648,02
103,21134,0.0078,0.565,0.1851132,0.08177519999999999,0.0066872,0.2261,0.3787,0.16215,0.0078,0.1243,NAGAUR,2014,Rabi       ,75548,189555,2.509067083178906,02
105,21134,-0.006,0.5301,0.1622495,0.0673087,0.0045305,0.1844,0.2844,0.1389,0.0283,0.1177,NAGAUR,2015,Rabi       ,71637,161510,2.2545611904462777,02
107,21134,0.0169,0.5720000000000001,0.1640677,0.06854110000000001,0.0046979,0.182075,0.2708,0.141,0.0347,0.1229,NAGAUR,2016,Rabi       ,60279,160235,2.658222598251464,02
109,21134,0.027999999999999997,0.5446,0.1689767,0.07365010000000001,0.0054243,0.2014,0.3301,0.1444,0.027999999999999997,0.1156,NAGAUR,2017,Rabi       ,64949,165199,2.5435187608739165,02
111,21134,-0.0012,0.49700000000000005,0.16064489999999998,0.05802430000000001,0.0033668,0.1774,0.2584,0.1445,0.0439,0.1234,NAGAUR,2018,Rabi       ,53677,142533,2.6553831249883557,02
113,21134,0.0191,0.5433,0.1632766,0.0667242,0.0044521000000000005,0.1841,0.2805,0.14375,0.0257,0.1198,NAGAUR,2019,Rabi       ,51378,145883,2.839405971427459,02
115,14971,-0.0474,0.5820000000000001,0.15238310000000002,0.0381989,0.0014592000000000001,0.161,0.2075,0.1424,0.0835,0.13,PALI,2001,Rabi       ,51527,74074,1.4375764162477924,02
117,14971,-0.0752,0.6381,0.1757819,0.0525385,0.0027603000000000003,0.1874,0.2528,0.1602,0.0857,0.1438,PALI,2002,Rabi       ,68178,113534,1.665258587814251,02
119,14971,0.0672,0.4308,0.13143039999999998,0.030069,0.0009041,0.1401,0.1789,0.1263,0.0756,0.1142,PALI,2003,Rabi       ,29431,61032,2.0737317794162617,02
121,14970,-0.0339,0.4702,0.1720319,0.036573699999999994,0.0013376,0.1853,0.2411,0.1639,0.0989,0.1481,PALI,2004,Rabi       ,38801,79685,2.0536841833973347,02
123,14971,0.0215,0.4749,0.1500922,0.030861400000000004,0.0009524,0.162,0.2094,0.1446,0.0841,0.1304,PALI,2005,Rabi       ,25553,43649,1.7081751653426211,02
125,14971,-0.0276,0.4823,0.158343,0.0332945,0.0011085000000000001,0.1689,0.2151,0.1507,0.0954,0.1381,PALI,2006,Rabi       ,28652,37038,1.2926846293452463,02
127,14971,-0.0406,0.6612,0.18282520000000002,0.05755219999999999,0.0033123000000000007,0.2014,0.2869,0.1684,0.0587,0.1443,PALI,2007,Rabi       ,77550,149111,1.9227724049000643,02
129,14971,-0.0307,0.6929,0.18708339999999998,0.06802910000000001,0.004628,0.203,0.2924,0.1666,0.0542,0.1433,PALI,2008,Rabi       ,69452,131968,1.900132465587744,02
131,14971,0.0493,0.5012,0.1455475,0.0274168,0.0007517,0.1553,0.195,0.1405,0.0893,0.1288,PALI,2009,Rabi       ,30185,51077,1.692131853569654,02
133,14971,-0.0181,0.3942,0.1374349,0.027906599999999997,0.0007788,0.15045,0.1986,0.1318,0.0709,0.1183,PALI,2010,Rabi       ,24350,48213,1.98,02
135,14971,-0.0132,0.5736,0.2078074,0.0635076,0.0040332,0.2312,0.3284,0.1935,0.0733,0.1664,PALI,2011,Rabi       ,80115,145154,1.8118205080197216,02
137,14971,-0.0203,0.5123,0.1887878,0.0519168,0.0026954,0.2064,0.2842,0.1755,0.0773,0.1544,PALI,2012,Rabi       ,48464,107092,2.209722680752724,02
139,14971,-0.0195,0.7183,0.21104479999999998,0.0649253,0.0042153,0.2372,0.3432,0.1969,0.0804,0.1665,PALI,2013,Rabi       ,57098,144534,2.5313320956951206,02
141,14971,0.0378,0.5503,0.19244470000000002,0.0483889,0.0023415,0.2121,0.2913,0.1812,0.0851,0.1593,PALI,2014,Rabi       ,47446,129758,2.734856468406188,02
143,14971,-0.0126,0.6164,0.18697439999999999,0.0456575,0.0020846,0.2066,0.2835,0.1774,0.0846,0.1553,PALI,2015,Rabi       ,49826,99960,2.006181511660579,02
145,14971,-0.0082,0.6164,0.19757149999999998,0.06527190000000001,0.0042604,0.2178,0.3135,0.1815,0.0692,0.154,PALI,2016,Rabi       ,61193,157499,2.573807461637769,02
147,14969,-0.0511,0.6033,0.22270879999999998,0.0679788,0.0046211,0.2489,0.3568,0.2069,0.0703,0.1769,PALI,2017,Rabi       ,92531,265876,2.8733721671655985,02
149,14971,-0.0428,0.6028,0.2182839,0.06913380000000001,0.0047795,0.2404,0.3418,0.2,0.0772,0.1728,PALI,2018,Rabi       ,82074,216513,2.6380217852182177,02
151,14971,0.02,0.5463,0.18740679999999998,0.0470345,0.0022122,0.2065,0.2831,0.179,0.0813,0.1554,PALI,2019,Rabi       ,50085,146542,2.9258660277528197,02
153,5703,0.066,0.4222,0.1335675,0.0236543,0.0005595,0.145,0.1846,0.1303,0.0812,0.1183,RAJSAMAND,2001,Rabi       ,3342,7208,2.1567923399162177,02
155,5703,0.0127,0.4879,0.1666341,0.037088199999999995,0.0013755,0.17645,0.2232,0.1597,0.0982,0.1451,RAJSAMAND,2002,Rabi       ,15369,42099,2.7392153035330864,02
157,5703,0.0487,0.3872,0.1277634,0.0203771,0.0004152,0.1386,0.1729,0.1261,0.0803,0.115,RAJSAMAND,2003,Rabi       ,1482,3158,2.1309041835357623,02
159,5703,0.0809,0.4235,0.1561227,0.026916200000000005,0.0007245,0.1673,0.2079,0.1517,0.0999,0.14,RAJSAMAND,2004,Rabi       ,5376,15020,2.7938988095238093,02
161,5703,0.0838,0.4449,0.15083829999999998,0.0275512,0.0007591,0.1626,0.2065,0.1453,0.0957,0.13325,RAJSAMAND,2005,Rabi       ,3293,9348,2.8387488612207714,02
