,District,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Month
1,KARAULI,6352,0.1428,0.8268,0.33658109999999997,0.134011,0.017959,0.40035,0.6445,0.28305,0.1428,0.2371,2001,Rabi       ,61886,118884,1.9210160617910352,02
3,KARAULI,6352,0.1581,0.8113,0.3512688,0.14593029999999999,0.0212957,0.42895,0.7125,0.2942,0.1581,0.239275,2002,Rabi       ,55324,174640,3.1566770298604583,02
5,KARAULI,6352,0.121,0.7956,0.292674,0.1501092,0.0225328,0.349625,0.5884,0.2216,0.121,0.19,2003,Rabi       ,52941,131287,2.479873821801628,02
7,KARAULI,6352,0.1579,0.8217,0.3839796,0.15811489999999997,0.0250003,0.513725,0.8217,0.33955,0.1579,0.241175,2004,Rabi       ,63492,231030,3.6387261387261383,02
9,KARAULI,6352,0.1072,0.7463,0.3541805,0.138665,0.019228,0.453325,0.7463,0.3162,0.1072,0.2341,2005,Rabi       ,50984,167098,3.277459595167111,02
11,KARAULI,6352,0.1497,0.8085,0.34595840000000005,0.1374751,0.018899400000000004,0.43025,0.7291,0.3063,0.1497,0.2299,2006,Rabi       ,51891,170279,3.281474629511861,02
13,KARAULI,6352,0.1271,0.7927,0.33842140000000004,0.14870870000000003,0.0221143,0.41725,0.701,0.2748,0.1271,0.2273,2007,Rabi       ,53423,163549,3.0613967766692247,02
15,KARAULI,6352,0.1492,0.7793,0.3307446,0.1472092,0.021670599999999998,0.41035,0.7027,0.2744,0.1492,0.2153,2008,Rabi       ,56952,192121,3.373384604579295,02
17,KARAULI,6352,0.1729,0.7726,0.3679208,0.1267099,0.0160554,0.45845,0.7569,0.33625,0.1729,0.257275,2009,Rabi       ,62737,228085,3.6355739037569537,02
19,KARAULI,6352,0.1624,0.8183,0.39990559999999997,0.1503094,0.0225929,0.51965,0.8183,0.37095,0.1624,0.263775,2010,Rabi       ,73134,285650,3.9058440670549954,02
21,KARAULI,6352,0.19399999999999998,0.8313,0.473767,0.16891,0.0285306,0.623725,0.8313,0.4574,0.19399999999999998,0.3126,2011,Rabi       ,86163,365854,4.246068498079222,02
23,KARAULI,6352,0.1471,0.7995,0.39814590000000005,0.1440715,0.020756599999999997,0.509525,0.7995,0.37845,0.1471,0.2608,2012,Rabi       ,75295,296883,3.942931137525732,02
25,KARAULI,6352,0.1783,0.8462,0.4457696,0.1527692,0.023338400000000002,0.57165,0.8462,0.42135,0.1783,0.3046,2013,Rabi       ,78348,306585,3.9131183948537296,02
27,KARAULI,6352,0.1911,0.8388,0.4830469,0.15814160000000002,0.025008799999999998,0.626425,0.8388,0.4797,0.1911,0.326575,2014,Rabi       ,83418,313196,3.754537390011748,02
29,KARAULI,6352,0.1846,0.8219,0.4408437,0.1669052,0.027857299999999998,0.58335,0.8219,0.4171,0.1846,0.28300000000000003,2015,Rabi       ,85169,308964,3.6276579506628,02
31,KARAULI,6352,0.1538,0.8287,0.4145871,0.1819117,0.03309190000000001,0.559625,0.8287,0.3624,0.1538,0.2488,2016,Rabi       ,78974,279286,3.536429711044141,02
33,KARAULI,6352,0.1767,0.8340000000000001,0.44518820000000003,0.1641421,0.026942599999999997,0.589425,0.8340000000000001,0.44065,0.1767,0.282,2017,Rabi       ,89193,360710,4.044151446862422,02
35,KARAULI,6352,0.1622,0.7995,0.3806337,0.16632349999999999,0.0276635,0.50715,0.7995,0.3211,0.1622,0.237175,2018,Rabi       ,75421,319581,4.23729465268294,02
37,KARAULI,6352,0.1936,0.8198,0.4590224,0.1718139,0.029519999999999998,0.6111,0.8198,0.45635,0.1936,0.2853,2019,Rabi       ,77846,346048,4.445289417568018,02
39,KOTA,6893,0.11900000000000001,0.81,0.4010258,0.1567443,0.0245688,0.5385,0.81,0.3659,0.11900000000000001,0.2599,2001,Rabi       ,96156,241324,2.509713382420234,02
41,KOTA,6893,0.0523,0.843,0.4427167,0.1780197,0.031691000000000004,0.6066,0.843,0.4111,0.0523,0.2819,2002,Rabi       ,79144,227185,2.8705271404023045,02
43,KOTA,6893,-0.1539,0.8073,0.3587637,0.1523028,0.023196099999999997,0.4619,0.7934,0.308,-0.0832,0.2362,2003,Rabi       ,50311,141770,2.8178728309912344,02
45,KOTA,6893,0.1301,0.8406,0.4317568,0.17239010000000002,0.0297183,0.5894,0.8406,0.3951,0.1301,0.2739,2004,Rabi       ,66760,191358,2.8663571000599157,02
47,KOTA,6893,0.1038,0.8288,0.44580420000000004,0.17478670000000002,0.030550400000000002,0.6051,0.8288,0.4333,0.1038,0.2876,2005,Rabi       ,64902,220058,3.3906197035530488,02
49,KOTA,6893,0.0969,0.8195,0.424626,0.16845510000000002,0.028377099999999995,0.5795,0.8195,0.3974,0.0969,0.2723,2006,Rabi       ,64753,209469,3.234892591849026,02
51,KOTA,6893,0.0865,0.83,0.44479070000000004,0.1651417,0.027271800000000002,0.5818,0.83,0.431,0.0865,0.3002,2007,Rabi       ,81551,296388,3.634388296893968,02
53,KOTA,6893,0.1112,0.8425,0.45183249999999997,0.1853013,0.0343366,0.6193,0.8425,0.4283,0.1112,0.2853,2008,Rabi       ,110050,398747,3.62332576101772,02
55,KOTA,6893,0.1315,0.8206,0.4531019,0.1695355,0.028742300000000002,0.6007,0.8206,0.4462,0.1315,0.3031,2009,Rabi       ,86611,320290,3.698029118703167,02
57,KOTA,6893,0.1328,0.8416,0.4527245,0.1785638,0.031885000000000004,0.6117,0.8416,0.4361,0.1328,0.2969,2010,Rabi       ,91999,325222,3.535060163697432,02
59,KOTA,6893,0.1403,0.841,0.488629,0.1897865,0.0360189,0.6598,0.841,0.4722,0.1403,0.3242,2011,Rabi       ,115280,411409,3.5687803608605133,02
61,KOTA,6893,0.1404,0.8289,0.4909848,0.16982809999999998,0.0288416,0.638,0.8289,0.5048,0.1404,0.34700000000000003,2012,Rabi       ,111785,467738,4.18426443619448,02
