,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Month
0,6352,0.0863,0.602,0.2260425,0.09077180000000001,0.0082395,0.27255,0.4449,0.18965,0.0863,0.1576,KARAULI,2001,Rabi       ,61886,118884,1.9210160617910352,01
2,6352,0.0897,0.6378,0.22168739999999998,0.0941211,0.0088588,0.271225,0.4538,0.1825,0.0897,0.1495,KARAULI,2002,Rabi       ,55324,174640,3.1566770298604583,01
4,6352,0.0555,0.6383,0.1916352,0.1012159,0.0102447,0.2245,0.3722,0.1443,0.0555,0.1257,KARAULI,2003,Rabi       ,52941,131287,2.479873821801628,01
6,6352,0.0688,0.606,0.238486,0.1071153,0.011473700000000002,0.3201,0.5770000000000001,0.20825,0.0688,0.1428,KARAULI,2004,Rabi       ,63492,231030,3.6387261387261383,01
8,6352,0.0512,0.5859,0.2539873,0.11239089999999999,0.012631700000000001,0.345225,0.5859,0.2201,0.0512,0.154,KARAULI,2005,Rabi       ,50984,167098,3.277459595167111,01
10,6352,0.0419,0.632,0.24516239999999997,0.1080425,0.011673200000000002,0.321125,0.5745,0.21425,0.0419,0.15,KARAULI,2006,Rabi       ,51891,170279,3.281474629511861,01
12,6352,0.0786,0.6202,0.2304154,0.1080167,0.0116676,0.295125,0.5273,0.1937,0.0786,0.139875,KARAULI,2007,Rabi       ,53423,163549,3.0613967766692247,01
14,6352,0.0423,0.6615,0.2237474,0.1054548,0.0111207,0.2848,0.5035,0.18675,0.0423,0.1389,KARAULI,2008,Rabi       ,56952,192121,3.373384604579295,01
16,6352,0.0797,0.5768,0.266982,0.11254410000000001,0.0126662,0.361125,0.5768,0.2384,0.0797,0.1624,KARAULI,2009,Rabi       ,62737,228085,3.6355739037569537,01
18,6352,0.0885,0.6314,0.2814612,0.12089649999999999,0.014616,0.3786,0.6314,0.25185,0.0885,0.1706,KARAULI,2010,Rabi       ,73134,285650,3.9058440670549954,01
20,6352,0.0948,0.7127,0.3011503,0.1188382,0.0141225,0.4018,0.7127,0.27645,0.0948,0.1906,KARAULI,2011,Rabi       ,86163,365854,4.246068498079222,01
22,6352,0.0897,0.68,0.2793907,0.11738039999999998,0.0137782,0.369325,0.6524,0.25655,0.0897,0.170175,KARAULI,2012,Rabi       ,75295,296883,3.942931137525732,01
24,6352,0.0698,0.6269,0.2803604,0.0999109,0.0099822,0.360425,0.6071,0.2535,0.0698,0.1915,KARAULI,2013,Rabi       ,78348,306585,3.9131183948537296,01
26,6352,0.071,0.6763,0.3069232,0.1290422,0.0166519,0.417425,0.6763,0.28725,0.071,0.1833,KARAULI,2014,Rabi       ,83418,313196,3.754537390011748,01
28,6352,0.0729,0.6575,0.30007009999999995,0.1353862,0.018329400000000003,0.41135,0.6575,0.2791,0.0729,0.1692,KARAULI,2015,Rabi       ,85169,308964,3.6276579506628,01
30,6352,0.0924,0.6352,0.26117310000000005,0.12564160000000002,0.0157858,0.354,0.6352,0.2173,0.0924,0.1516,KARAULI,2016,Rabi       ,78974,279286,3.536429711044141,01
32,6352,0.0285,0.6898,0.30788340000000003,0.1359656,0.0184866,0.432075,0.6898,0.2804,0.0285,0.174775,KARAULI,2017,Rabi       ,89193,360710,4.044151446862422,01
34,6352,0.0962,0.6495,0.2544241,0.12630750000000002,0.015953600000000002,0.3348,0.614,0.2111,0.0962,0.1484,KARAULI,2018,Rabi       ,75421,319581,4.23729465268294,01
36,6352,0.0886,0.6687,0.31377309999999997,0.1357375,0.018424700000000002,0.430725,0.6687,0.2856,0.0886,0.185175,KARAULI,2019,Rabi       ,77846,346048,4.445289417568018,01
38,6892,-0.0004,0.6147,0.2740933,0.11333589999999999,0.012844999999999999,0.36335,0.6147,0.2506,-0.0004,0.17300000000000001,KOTA,2001,Rabi       ,96156,241324,2.509713382420234,01
40,6893,0.017,0.5752,0.2750759,0.1068796,0.011423200000000001,0.3625,0.5752,0.2643,0.017,0.18,KOTA,2002,Rabi       ,79144,227185,2.8705271404023045,01
42,6893,0.0141,0.6071,0.21601990000000001,0.0910577,0.0082915,0.2678,0.4525,0.1867,0.0141,0.1442,KOTA,2003,Rabi       ,50311,141770,2.8178728309912344,01
44,6893,0.0328,0.5619,0.2793151,0.11513759999999999,0.013256700000000001,0.3814,0.5619,0.2577,0.0328,0.1741,KOTA,2004,Rabi       ,66760,191358,2.8663571000599157,01
46,6893,-0.0079,0.6503,0.3278518,0.1408741,0.019845500000000002,0.45899999999999996,0.6503,0.3259,-0.0079,0.192,KOTA,2005,Rabi       ,64902,220058,3.3906197035530488,01
48,6893,0.0519,0.5786,0.30149879999999996,0.119637,0.014313,0.4048,0.5786,0.2961,0.0519,0.1908,KOTA,2006,Rabi       ,64753,209469,3.234892591849026,01
50,6893,-0.0068,0.6554,0.3346784,0.1427548,0.020378900000000002,0.4625,0.6554,0.3309,-0.0068,0.2022,KOTA,2007,Rabi       ,81551,296388,3.634388296893968,01
52,6893,-0.0068,0.6227,0.302863,0.12799180000000002,0.016381899999999998,0.41200000000000003,0.6227,0.2957,-0.0068,0.1846,KOTA,2008,Rabi       ,110050,398747,3.62332576101772,01
54,6893,0.0565,0.6177,0.31456259999999997,0.12399189999999999,0.015374,0.4251,0.6177,0.3252,0.0565,0.19699999999999998,KOTA,2009,Rabi       ,86611,320290,3.698029118703167,01
56,6893,0.0653,0.603,0.3161445,0.1251303,0.0156576,0.4291,0.603,0.321,0.0653,0.2014,KOTA,2010,Rabi       ,91999,325222,3.535060163697432,01
58,6893,0.0783,0.6028,0.29680959999999995,0.11213959999999999,0.0125753,0.389,0.6028,0.2998,0.0783,0.1957,KOTA,2011,Rabi       ,115280,411409,3.5687803608605133,01
60,6892,-0.0187,0.6967,0.3420303,0.1222526,0.0149457,0.435725,0.6967,0.35,-0.0187,0.236975,KOTA,2012,Rabi       ,111785,467738,4.18426443619448,01
62,6893,0.034,0.6747,0.3345405,0.12292950000000001,0.015111700000000002,0.4405,0.6747,0.3415,0.034,0.2215,KOTA,2013,Rabi       ,127996,541271,4.228811837869934,01
64,6893,-0.0132,0.6863,0.38140240000000003,0.1571555,0.0246978,0.5149,0.6863,0.4015,-0.0132,0.2357,KOTA,2014,Rabi       ,138008,553604,4.011390644020636,01
66,6893,-0.0096,0.7046,0.3476218,0.13601989999999997,0.0185014,0.4532,0.7046,0.3562,-0.0096,0.2339,KOTA,2015,Rabi       ,135748,279120,2.056162890060995,01
68,6893,0.0331,0.6677,0.3331903,0.12470810000000002,0.015552100000000001,0.4377,0.6677,0.3413,0.0331,0.2215,KOTA,2016,Rabi       ,120081,468840,3.9043645539261003,01
70,6893,-0.004,0.7216,0.35727929999999997,0.1364476,0.018618,0.4776,0.7216,0.3747,-0.004,0.2298,KOTA,2017,Rabi       ,141604,622806,4.398223214033502,01
72,6893,0.0679,0.6231,0.3230225,0.12474189999999999,0.0155605,0.4275,0.6231,0.3318,0.0679,0.2082,KOTA,2018,Rabi       ,120490,502518,4.1706199684621135,01
74,6893,0.002,0.7168,0.3610145,0.1340868,0.0179793,0.4695,0.7168,0.3803,0.002,0.2425,KOTA,2019,Rabi       ,142148,666856,4.691279511495061,01
76,21134,0.0057,0.5102,0.141495,0.056004700000000004,0.0031365,0.1601,0.2445,0.1219,0.023,0.1038,NAGAUR,2001,Rabi       ,91912,184326,2.00546174601793,01
78,21134,-0.0166,0.4743,0.1466654,0.0542802,0.0029463000000000002,0.1622,0.2376,0.1282,0.0376,0.1119,NAGAUR,2002,Rabi       ,69514,179307,2.5794372356647584,01
80,21134,-0.0175,0.5014,0.13028299999999998,0.0614385,0.0037747,0.1464,0.2305,0.1086,0.0193,0.0903,NAGAUR,2003,Rabi       ,85412,189465,2.218248021355313,01
