,District,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Month
0,KARAULI,6352,0.1662,0.7726,0.35153140000000005,0.12198039999999999,0.0148792,0.42065,0.6641,0.309,0.1662,0.258,2001,Rabi       ,61886,118884,1.9210160617910352,01
2,KARAULI,6352,0.1708,0.7927,0.3425282,0.1250202,0.01563,0.413125,0.665,0.2952,0.1708,0.2451,2002,Rabi       ,55324,174640,3.1566770298604583,01
4,KARAULI,6352,0.1246,0.8198,0.3077523,0.1373013,0.0188516,0.36125,0.5864,0.2495,0.1246,0.2111,2003,Rabi       ,52941,131287,2.479873821801628,01
6,KARAULI,6352,0.1737,0.7954,0.400307,0.15064879999999997,0.0226951,0.525575,0.7954,0.3639,0.1737,0.2638,2004,Rabi       ,63492,231030,3.6387261387261383,01
8,KARAULI,6352,0.1114,0.779,0.3994804,0.1539516,0.0237011,0.52835,0.779,0.36225,0.1114,0.261675,2005,Rabi       ,50984,167098,3.277459595167111,01
10,KARAULI,6352,0.1355,0.7986,0.3769996,0.1478994,0.021874200000000003,0.488925,0.7986,0.33825,0.1355,0.2447,2006,Rabi       ,51891,170279,3.281474629511861,01
12,KARAULI,6352,0.1514,0.7867,0.3493915,0.1446395,0.020920599999999998,0.442325,0.7632,0.305,0.1514,0.22699999999999998,2007,Rabi       ,53423,163549,3.0613967766692247,01
14,KARAULI,6352,0.106,0.7954,0.3467375,0.1427382,0.020374200000000002,0.4354,0.743,0.29765,0.106,0.2299,2008,Rabi       ,56952,192121,3.373384604579295,01
16,KARAULI,6352,0.1923,0.8009999999999999,0.4211901,0.1484561,0.0220392,0.5482,0.8009999999999999,0.3932,0.1923,0.2818,2009,Rabi       ,62737,228085,3.6355739037569537,01
18,KARAULI,6352,0.1955,0.8237,0.4543589,0.155704,0.0242437,0.5836,0.8237,0.42935,0.1955,0.3141,2010,Rabi       ,73134,285650,3.9058440670549954,01
20,KARAULI,6352,0.2056,0.8245,0.48125619999999997,0.1451407,0.0210658,0.609,0.8245,0.4666,0.2056,0.3491,2011,Rabi       ,86163,365854,4.246068498079222,01
22,KARAULI,6352,0.2008,0.7891,0.43138469999999995,0.1408131,0.0198283,0.5475,0.7891,0.41635,0.2008,0.2976,2012,Rabi       ,75295,296883,3.942931137525732,01
24,KARAULI,6352,0.1835,0.778,0.44063850000000004,0.1320692,0.0174423,0.554525,0.778,0.41785,0.1835,0.3198,2013,Rabi       ,78348,306585,3.9131183948537296,01
26,KARAULI,6352,0.2233,0.8347,0.49174629999999997,0.1497201,0.022416099999999998,0.6251,0.8347,0.48415,0.2233,0.348,2014,Rabi       ,83418,313196,3.754537390011748,01
28,KARAULI,6352,0.1785,0.8127,0.4639196,0.16301749999999998,0.0265747,0.60545,0.8127,0.4538,0.1785,0.306375,2015,Rabi       ,85169,308964,3.6276579506628,01
30,KARAULI,6352,0.1721,0.8295,0.4160232,0.1670083,0.0278918,0.5513,0.8295,0.36975,0.1721,0.2651,2016,Rabi       ,78974,279286,3.536429711044141,01
32,KARAULI,6352,0.0656,0.8206,0.47918019999999995,0.17163699999999998,0.0294593,0.643,0.8206,0.4645,0.0656,0.3078,2017,Rabi       ,89193,360710,4.044151446862422,01
34,KARAULI,6352,0.1673,0.8388,0.4020776,0.1677305,0.0281335,0.52035,0.8388,0.35405,0.1673,0.2576,2018,Rabi       ,75421,319581,4.23729465268294,01
36,KARAULI,6352,0.2051,0.8267,0.4749782,0.1648917,0.027189299999999996,0.625,0.8267,0.4604,0.2051,0.315575,2019,Rabi       ,77846,346048,4.445289417568018,01
38,KOTA,6892,-0.0017,0.7902,0.42174520000000004,0.1534988,0.023561900000000004,0.5524,0.7902,0.39985,-0.0017,0.2824,2001,Rabi       ,96156,241324,2.509713382420234,01
40,KOTA,6893,0.0451,0.8026,0.4293326,0.1514584,0.022939599999999997,0.5615,0.8026,0.4235,0.0451,0.2975,2002,Rabi       ,79144,227185,2.8705271404023045,01
42,KOTA,6893,0.0463,0.7913,0.3573938,0.13447699999999999,0.0180841,0.4493,0.7495,0.3243,0.0463,0.2447,2003,Rabi       ,50311,141770,2.8178728309912344,01
44,KOTA,6893,0.0852,0.7895,0.45338149999999994,0.1675809,0.0280834,0.615,0.7895,0.4328,0.0852,0.3006,2004,Rabi       ,66760,191358,2.8663571000599157,01
46,KOTA,6893,-0.0218,0.8092,0.4970366,0.1855736,0.0344376,0.6769,0.8092,0.5102,-0.0218,0.3309,2005,Rabi       ,64902,220058,3.3906197035530488,01
48,KOTA,6893,0.1348,0.7859999999999999,0.46489259999999993,0.16646689999999997,0.027711200000000002,0.6196,0.7859999999999999,0.4652,0.1348,0.3185,2006,Rabi       ,64753,209469,3.234892591849026,01
50,KOTA,6893,-0.0322,0.8378,0.4974622,0.1865307,0.0347937,0.6719,0.8378,0.5045,-0.0322,0.3333,2007,Rabi       ,81551,296388,3.634388296893968,01
52,KOTA,6893,-0.0235,0.8361,0.47454709999999994,0.1772621,0.0314219,0.6345,0.8361,0.4782,-0.0235,0.3169,2008,Rabi       ,110050,398747,3.62332576101772,01
54,KOTA,6893,0.1379,0.8252,0.5150151,0.17457179999999997,0.0304753,0.6731,0.8252,0.5443,0.1379,0.3686,2009,Rabi       ,86611,320290,3.698029118703167,01
56,KOTA,6893,0.1136,0.8293,0.5143398,0.1755825,0.030829200000000005,0.6766,0.8293,0.5321,0.1136,0.3681,2010,Rabi       ,91999,325222,3.535060163697432,01
58,KOTA,6893,0.1513,0.8109,0.48928859999999996,0.1574917,0.0248036,0.6273,0.8109,0.5041,0.1513,0.3603,2011,Rabi       ,115280,411409,3.5687803608605133,01
60,KOTA,6892,-0.0513,0.8398,0.5213936,0.15812,0.0250019,0.6501,0.8398,0.54815,0.1452,0.398675,2012,Rabi       ,111785,467738,4.18426443619448,01
62,KOTA,6893,0.0861,0.8225,0.5140680999999999,0.1695162,0.028735700000000003,0.6647,0.8225,0.5377,0.0861,0.3722,2013,Rabi       ,127996,541271,4.228811837869934,01
64,KOTA,6893,-0.0525,0.8645,0.5899031,0.1824684,0.033294699999999997,0.7443,0.8645,0.6369,0.0268,0.4569,2014,Rabi       ,138008,553604,4.011390644020636,01
66,KOTA,6893,-0.0458,0.8526,0.5606071,0.1744896,0.0304466,0.706,0.8526,0.5965,0.1,0.4387,2015,Rabi       ,135748,279120,2.056162890060995,01
68,KOTA,6893,0.1029,0.8579,0.5230988,0.1724467,0.0297379,0.6735,0.8579,0.5506,0.1029,0.3835,2016,Rabi       ,120081,468840,3.9043645539261003,01
70,KOTA,6893,-0.0177,0.8752,0.5654376999999999,0.1835787,0.0337011,0.73,0.8752,0.6043,-0.0177,0.4214,2017,Rabi       ,141604,622806,4.398223214033502,01
72,KOTA,6893,0.1182,0.8652,0.5239673,0.17812820000000001,0.0317297,0.6766,0.8652,0.5512,0.1182,0.3769,2018,Rabi       ,120490,502518,4.1706199684621135,01
74,KOTA,6893,0.0079,0.8765,0.5609158000000001,0.1767773,0.0312502,0.7087,0.8765,0.6065,0.1353,0.4301,2019,Rabi       ,142148,666856,4.691279511495061,01
76,NAGAUR,21134,0.0062,0.7164,0.21566149999999998,0.08351660000000001,0.006975,0.244775,0.3746,0.19,0.0392,0.1582,2001,Rabi       ,91912,184326,2.00546174601793,01
78,NAGAUR,21134,-0.0305,0.6809,0.22694189999999997,0.0833311,0.0069441,0.253975,0.3769,0.20135,0.0519,0.172,2002,Rabi       ,69514,179307,2.5794372356647584,01
80,NAGAUR,21134,-0.0401,0.6984,0.1993432,0.09211339999999998,0.008484899999999998,0.2253,0.3588,0.1707,0.0063,0.1363,2003,Rabi       ,85412,189465,2.218248021355313,01
82,NAGAUR,21127,-0.1854,0.7363,0.2518367,0.1039124,0.0107978,0.28565,0.4387,0.2189,0.0331,0.1836,2004,Rabi       ,74768,201871,2.6999652257650335,01
84,NAGAUR,21134,0.0319,0.7461,0.2412397,0.11724849999999999,0.013747200000000001,0.287775,0.4807,0.1975,0.0319,0.159,2005,Rabi       ,69640,141396,2.0303848363009767,01
86,NAGAUR,21134,0.028999999999999998,0.7093,0.2298547,0.10286760000000002,0.010581700000000001,0.261,0.4126,0.19285,0.028999999999999998,0.1599,2006,Rabi       ,71316,163469,2.2921784732738795,01
88,NAGAUR,21134,0.0122,0.7514,0.2240989,0.106268,0.0112929,0.253875,0.3992,0.1878,0.0122,0.156925,2007,Rabi       ,76384,165160,2.162232928361961,01
90,NAGAUR,21134,0.0403,0.7277,0.2252411,0.1025798,0.0105226,0.2433,0.3676,0.1901,0.0403,0.1604,2008,Rabi       ,79567,161304,2.02727261301796,01
92,NAGAUR,21128,-0.1978,0.7424,0.2349313,0.10663840000000001,0.011371700000000002,0.2624,0.4049,0.19945,0.0265,0.1674,2009,Rabi       ,67100,173274,2.582324888226528,01
94,NAGAUR,21134,0.0143,0.7355,0.21050010000000002,0.1040708,0.0108307,0.2287,0.3528,0.1743,0.0321,0.1459,2010,Rabi       ,77165,194171,2.5163092075422795,01
96,NAGAUR,21121,-0.1756,0.6495,0.2509176,0.0961211,0.009239299999999999,0.3003,0.4858,0.2255,-0.0066,0.1766,2011,Rabi       ,77362,194987,2.520449316201753,01
98,NAGAUR,21132,-0.1039,0.5925,0.23693850000000002,0.06739760000000002,0.0045424,0.254,0.3365,0.2236,0.1165,0.19899999999999998,2012,Rabi       ,56807,142524,2.5089161546992447,01
100,NAGAUR,21101,-0.1877,0.6208,0.2468853,0.0865412,0.007489399999999999,0.2888,0.4443,0.2235,0.0316,0.1851,2013,Rabi       ,83768,212344,2.534905930665648,01
102,NAGAUR,21134,0.0394,0.7555,0.2775975,0.1025069,0.010507700000000002,0.344,0.5626,0.2547,0.0394,0.1982,2014,Rabi       ,75548,189555,2.509067083178906,01
104,NAGAUR,21134,-0.0846,0.6916,0.2523777,0.0836197,0.0069922,0.2857,0.4165,0.2283,0.0695,0.1985,2015,Rabi       ,71637,161510,2.2545611904462777,01
106,NAGAUR,21134,0.0263,0.7533,0.2482203,0.08735789999999999,0.007631399999999999,0.2731,0.3869,0.2227,0.0844,0.1972,2016,Rabi       ,60279,160235,2.658222598251464,01
108,NAGAUR,21134,0.028999999999999998,0.7825,0.2795154,0.10376660000000001,0.0107675,0.3352,0.5356,0.2483,0.028999999999999998,0.2016,2017,Rabi       ,64949,165199,2.5435187608739165,01
110,NAGAUR,21134,-0.0129,0.6901,0.24440029999999996,0.0753312,0.005674800000000001,0.2726,0.3901,0.2303,0.0768,0.1942,2018,Rabi       ,53677,142533,2.6553831249883557,01
112,NAGAUR,21134,-0.013000000000000001,0.6097,0.23430029999999996,0.0699509,0.0048931,0.2632,0.3752,0.2204,0.0767,0.188525,2019,Rabi       ,51378,145883,2.839405971427459,01
114,PALI,14969,-0.0018,0.7443,0.24643690000000001,0.0590894,0.0034915999999999997,0.2695,0.3618,0.2326,0.1187,0.2079,2001,Rabi       ,51527,74074,1.4375764162477924,01
116,PALI,14967,-0.0627,0.7728,0.2813963,0.0760714,0.0057869,0.30955,0.4281,0.2606,0.115,0.23035,2002,Rabi       ,68178,113534,1.665258587814251,01
118,PALI,14971,0.1183,0.6683,0.21028670000000002,0.0485047,0.0023526999999999997,0.2298,0.3058,0.2014,0.1183,0.179,2003,Rabi       ,29431,61032,2.0737317794162617,01
120,PALI,14971,-0.1134,0.693,0.2686325,0.059339199999999995,0.0035210999999999997,0.2945,0.3957,0.2542,0.1366,0.22699999999999998,2004,Rabi       ,38801,79685,2.0536841833973347,01
122,PALI,14971,-0.0141,0.7125,0.2515423,0.0559715,0.0031328000000000003,0.278,0.3753,0.2396,0.1411,0.2131,2005,Rabi       ,25553,43649,1.7081751653426211,01
124,PALI,14971,-0.1228,0.6901,0.25752670000000005,0.06448530000000001,0.0041584,0.2788,0.3728,0.2399,0.1342,0.2161,2006,Rabi       ,28652,37038,1.2926846293452463,01
126,PALI,14969,-0.1912,0.7622,0.30061079999999996,0.1013391,0.0102696,0.3466,0.5231,0.2726,0.0562,0.2289,2007,Rabi       ,77550,149111,1.9227724049000643,01
128,PALI,14969,-0.1723,0.7932,0.2967575,0.10574469999999998,0.0111819,0.3361,0.5,0.2647,0.0621,0.2264,2008,Rabi       ,69452,131968,1.900132465587744,01
130,PALI,14971,0.106,0.7204,0.25402870000000005,0.06108619999999999,0.0037314999999999996,0.2798,0.3792,0.2389,0.1147,0.2135,2009,Rabi       ,30185,51077,1.692131853569654,01
132,PALI,14971,-0.1488,0.6201,0.22807960000000002,0.052996900000000007,0.0028087,0.2499,0.3367,0.217,0.1077,0.192,2010,Rabi       ,24350,48213,1.98,01
134,PALI,14971,-0.1064,0.7628,0.3340625,0.0926921,0.008591799999999998,0.37745,0.5396,0.3121,0.1155,0.2693,2011,Rabi       ,80115,145154,1.8118205080197216,01
136,PALI,14971,-0.1868,0.7449,0.31073229999999996,0.0866605,0.007509999999999999,0.349,0.4982,0.2863,0.124,0.2495,2012,Rabi       ,48464,107092,2.209722680752724,01
138,PALI,14971,-0.1357,0.7929,0.3273897,0.092288,0.008517100000000001,0.37635,0.5522,0.3073,0.0975,0.2591,2013,Rabi       ,57098,144534,2.5313320956951206,01
140,PALI,14969,-0.0434,0.746,0.33441659999999995,0.0829304,0.006877500000000001,0.3794,0.5379,0.3176,0.11800000000000001,0.2737,2014,Rabi       ,47446,129758,2.734856468406188,01
142,PALI,14971,-0.188,0.7967,0.3150077,0.0790605,0.0062506,0.35600000000000004,0.5063,0.2971,0.1124,0.2558,2015,Rabi       ,49826,99960,2.006181511660579,01
144,PALI,14971,-0.1945,0.8085,0.3154844,0.10254010000000001,0.0105145,0.36455,0.5501,0.2886,0.0578,0.2408,2016,Rabi       ,61193,157499,2.573807461637769,01
146,PALI,14961,-0.1644,0.8378,0.3876643,0.108216,0.011710700000000001,0.4465,0.6504,0.3664,0.1172,0.3096,2017,Rabi       ,92531,265876,2.8733721671655985,01
148,PALI,14970,-0.1986,0.8494,0.3702728,0.11341939999999999,0.012863999999999999,0.428475,0.6409999999999999,0.3476,0.0888,0.2867,2018,Rabi       ,82074,216513,2.6380217852182177,01
150,PALI,14971,-0.0822,0.708,0.2928303,0.0731107,0.0053452,0.3349,0.4826,0.2784,0.0911,0.2363,2019,Rabi       ,50085,146542,2.9258660277528197,01
152,RAJSAMAND,5703,0.1028,0.596,0.2350886,0.0472469,0.0022323,0.2542,0.3298,0.2255,0.1295,0.2038,2001,Rabi       ,3342,7208,2.1567923399162177,01
154,RAJSAMAND,5703,0.1256,0.6473,0.2847402,0.05249630000000001,0.0027559,0.30785,0.3934,0.2748,0.1676,0.2508,2002,Rabi       ,15369,42099,2.7392153035330864,01
156,RAJSAMAND,5703,0.1076,0.5145,0.2341465,0.0370714,0.0013743,0.2515,0.3138,0.2307,0.1483,0.2099,2003,Rabi       ,1482,3158,2.1309041835357623,01
158,RAJSAMAND,5703,0.1087,0.568,0.26252309999999995,0.0487076,0.0023724,0.2832,0.3612,0.253,0.1551,0.23115,2004,Rabi       ,5376,15020,2.7938988095238093,01
160,RAJSAMAND,5703,0.1063,0.6565,0.27133270000000004,0.0501793,0.002518,0.299,0.39299999999999996,0.2613,0.1469,0.2356,2005,Rabi       ,3293,9348,2.8387488612207714,01
162,RAJSAMAND,5703,0.1212,0.7264,0.3098677,0.0599919,0.003599,0.3373,0.4376,0.2991,0.1791,0.27,2006,Rabi       ,16323,45077,2.7615634380934884,01
164,RAJSAMAND,5703,-0.1503,0.753,0.35320409999999997,0.0721528,0.0052060000000000006,0.3875,0.5081,0.3421,0.1876,0.30695,2007,Rabi       ,36704,116996,3.1875544899738446,01
166,RAJSAMAND,5701,0.0343,0.7875,0.3315356,0.06968939999999998,0.0048566,0.3641,0.48,0.3186,0.1727,0.2868,2008,Rabi       ,34420,107093,3.1113596746077863,01
168,RAJSAMAND,5703,0.0484,0.6571,0.2813719,0.054817399999999995,0.0030049,0.3128,0.41600000000000004,0.2715,0.1409,0.2438,2009,Rabi       ,12069,26966,2.2343193305161986,01
170,RAJSAMAND,5703,0.10099999999999999,0.7275,0.2764554,0.052885800000000004,0.0027969,0.3052,0.4005,0.2699,0.1444,0.2407,2010,Rabi       ,6461,16811,2.6019192075530104,01
172,RAJSAMAND,5703,-0.0564,0.7657,0.3943415,0.07695679999999999,0.0059223,0.4379,0.5831,0.3851,0.1959,0.3408,2011,Rabi       ,31898,104462,3.2748761677848144,01
174,RAJSAMAND,5703,-0.0938,0.7176,0.36476759999999997,0.061740699999999996,0.0038119,0.3993,0.5115,0.3593,0.2147,0.3245,2012,Rabi       ,32314,100979,3.124930370737142,01
176,RAJSAMAND,5703,-0.1293,0.6461,0.3587582,0.0593279,0.0035198,0.3905,0.4961,0.3515,0.2148,0.3201,2013,Rabi       ,33480,110290,3.294205495818399,01
178,RAJSAMAND,5703,-0.0089,0.7352,0.38004040000000006,0.0688554,0.0047411,0.4191,0.5465,0.3695,0.207,0.3339,2014,Rabi       ,30675,89919,2.931344743276284,01
180,RAJSAMAND,5703,0.0885,0.7672,0.3677922,0.06834169999999999,0.0046706000000000004,0.4032,0.5249,0.3574,0.2025,0.32185,2015,Rabi       ,29541,69577,2.3552689482414277,01
