,Train_y,Train_DT,Train_RF,Train_NL,Train_SVR,Train_ANN
11,2.471521516,2.3174344691111104,2.218236598827031,2.266355562672391,2.111428170438222,2.517989
300,2.246055481,2.3429445558,2.485615087888865,2.495008281452057,2.5428696551024803,2.6839383
234,3.855142686,3.855142686,3.7603788458072667,3.78701607138994,4.0322703282767005,5.304751
153,2.401703094,2.678775772142857,2.347008039552322,2.160437415629468,2.154376537437246,2.3461616
482,2.444178204,2.3174344691111104,2.2178776043593933,2.4097104972215644,2.260364777054372,2.4245632
243,2.79393714,2.3174344691111104,2.3325658796892856,2.2370006020984063,2.0987808435411335,2.4737685
332,3.390619704,3.3546439773333336,3.3046443160434014,3.0522208362124164,2.930735745526702,2.9190958
426,3.421305096,3.434782953083334,3.2256234075075962,3.2006245703416334,3.5626693314269264,3.3394496
87,1.892995375,1.8311237706666665,2.1434743046573956,2.3745687120022203,2.3017380000639722,2.4756086
362,2.516309208,2.508405118625,2.4974397838021987,2.528782036509266,2.7733182991448455,2.8507898
319,4.2460684980000005,4.2460684980000005,3.879180569920379,4.049849629447122,3.616550776511433,3.4159324
331,2.8663571,2.8663571,3.0047862719945266,2.8891518966526246,2.7566805759103357,2.8060253
158,2.761522672,2.678775772142857,2.345643657716035,2.2012523680341354,2.1590876963450842,2.3061156
154,2.7930188160000005,2.678775772142857,2.333674382514298,2.1605495521349813,2.129545780824918,2.5248969
446,2.44865675,2.3174344691111104,2.3454729466735205,2.3965678422271526,2.158481787561117,2.5606086
471,3.460796963,3.3532799545,3.1484741279921535,2.76058045531764,3.013027378817105,2.9755628
447,2.44865675,2.3174344691111104,2.3454729466735205,2.3965678422271526,2.158481787561117,2.5606086
427,2.923191447,3.0493571091,3.2325524406522343,3.0511815156392825,3.3544265684055663,3.178994
392,1.882177708,1.882177708,2.4403900594547605,2.6725450433171365,2.3816421467446585,2.5713995
67,3.403719252,3.3855546398571437,3.43131143722841,3.4647780733886315,3.623897273994337,3.7676032
356,2.1622329280000003,2.03743080525,2.4974397838021987,2.478737281161026,2.6088715927875494,2.715698
17,2.113465296,2.2356339766,2.6976114978633365,2.674361077803765,2.445571562480671,2.6233685
84,3.811535987,3.811535987,3.8737413029816024,3.91692811958009,3.6882783919671573,4.2204165
438,2.643409108,2.5481842074,2.29799469450152,2.414070154763053,2.2247164746612267,2.3508868
141,3.394040533,3.434782953083334,3.448715675248042,3.3698913070977707,3.6170183227795984,3.4876454
254,1.307402671,1.307402671,1.7365729964700227,1.9408853505963761,2.1051523681154585,1.7523091
