,District,FNCount,FNMinimum,FNMaximum,FNMean,FNStandard Deviation,FNVariance,FNUpper Quartile,FNUpper 1.5 IQR,FNMedian,FNLower 1.5 IQR,FNLower Quartile,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),JNCount,JNMinimum,JNMaximum,JNMean,JNStandard Deviation,JNVariance,JNUpper Quartile,JNUpper 1.5 IQR,JNMedian,JNLower 1.5 IQR,JNLower Quartile,FECount,FEMinimum,FEMaximum,FEMean,FEStandard Deviation,FEVariance,FEUpper Quartile,FEUpper 1.5 IQR,FEMedian,FELower 1.5 IQR,FELower Quartile,JECount,JEMinimum,JEMaximum,JEMean,JEStandard Deviation,JEVariance,JEUpper Quartile,JEUpper 1.5 IQR,JEMedian,JELower 1.5 IQR,JELower Quartile
1,KARAULI,6352,0.1428,0.8268,0.3365811,0.134011,0.017959,0.40035,0.6445,0.28305,0.1428,0.2371,2001,Rabi       ,61886,118884,1.921016062,6352,0.1662,0.7726,0.3515314,0.1219804,0.0148792,0.42065,0.6641,0.309,0.1662,0.258,6352,0.0664,0.6411,0.218823,0.1017398,0.010351,0.2617,0.4368,0.1756,0.0664,0.1449,6352,0.0863,0.602,0.2260425,0.0907718,0.0082395,0.27255,0.4449,0.18965,0.0863,0.1576
3,KARAULI,6352,0.1581,0.8113,0.3512688,0.1459303,0.0212957,0.42895,0.7125,0.2942,0.1581,0.239275,2002,Rabi       ,55324,174640,3.15667703,6352,0.1708,0.7927,0.3425282,0.1250202,0.01563,0.413125,0.665,0.2952,0.1708,0.2451,6352,0.066,0.6401,0.2315654,0.1138304,0.0129573,0.2855,0.4957,0.18475,0.066,0.1453,6352,0.0897,0.6378,0.2216874,0.0941211,0.0088588,0.271225,0.4538,0.1825,0.0897,0.1495
5,KARAULI,6352,0.121,0.7956,0.292674,0.1501092,0.0225328,0.349625,0.5884,0.2216,0.121,0.19,2003,Rabi       ,52941,131287,2.479873822,6352,0.1246,0.8198,0.3077523,0.1373013,0.0188516,0.36125,0.5864,0.2495,0.1246,0.2111,6352,0.0536,0.6672,0.1885465,0.1158169,0.0134136,0.226325,0.3967,0.1296,0.0536,0.1127,6352,0.0555,0.6383,0.1916352,0.1012159,0.0102447,0.2245,0.3722,0.1443,0.0555,0.1257
7,KARAULI,6352,0.1579,0.8217,0.3839796,0.1581149,0.0250003,0.513725,0.8217,0.33955,0.1579,0.241175,2004,Rabi       ,63492,231030,3.638726139,6352,0.1737,0.7954,0.400307,0.1506488,0.0226951,0.525575,0.7954,0.3639,0.1737,0.2638,6352,0.0682,0.6254,0.241999,0.1159683,0.0134486,0.3307,0.6139,0.20655,0.0682,0.138,6352,0.0688,0.606,0.238486,0.1071153,0.0114737,0.3201,0.577,0.20825,0.0688,0.1428
9,KARAULI,6352,0.1072,0.7463,0.3541805,0.138665,0.019228,0.453325,0.7463,0.3162,0.1072,0.2341,2005,Rabi       ,50984,167098,3.277459595,6352,0.1114,0.779,0.3994804,0.1539516,0.0237011,0.52835,0.779,0.36225,0.1114,0.261675,6352,0.0505,0.6241,0.2354271,0.1096323,0.0120192,0.307025,0.549,0.2006,0.0505,0.1425,6352,0.0512,0.5859,0.2539873,0.1123909,0.0126317,0.345225,0.5859,0.2201,0.0512,0.154
11,KARAULI,6352,0.1497,0.8085,0.3459584,0.1374751,0.0188994,0.43025,0.7291,0.3063,0.1497,0.2299,2006,Rabi       ,51891,170279,3.28147463,6352,0.1355,0.7986,0.3769996,0.1478994,0.0218742,0.488925,0.7986,0.33825,0.1355,0.2447,6352,0.0637,0.6363,0.2344114,0.1066111,0.0113659,0.2959,0.5227,0.2001,0.0637,0.144675,6352,0.0419,0.632,0.2451624,0.1080425,0.0116732,0.321125,0.5745,0.21425,0.0419,0.15
13,KARAULI,6352,0.1271,0.7927,0.3384214,0.1487087,0.0221143,0.41725,0.701,0.2748,0.1271,0.2273,2007,Rabi       ,53423,163549,3.061396777,6352,0.1514,0.7867,0.3493915,0.1446395,0.0209206,0.442325,0.7632,0.305,0.1514,0.227,6352,0.0697,0.5734,0.2077965,0.106776,0.0114011,0.258875,0.4522,0.15755,0.0697,0.1299,6352,0.0786,0.6202,0.2304154,0.1080167,0.0116676,0.295125,0.5273,0.1937,0.0786,0.139875
15,KARAULI,6352,0.1492,0.7793,0.3307446,0.1472092,0.0216706,0.41035,0.7027,0.2744,0.1492,0.2153,2008,Rabi       ,56952,192121,3.373384605,6352,0.106,0.7954,0.3467375,0.1427382,0.0203742,0.4354,0.743,0.29765,0.106,0.2299,6352,0.0904,0.6365,0.228751,0.1174584,0.0137965,0.28785,0.5139,0.1832,0.0904,0.1369,6352,0.0423,0.6615,0.2237474,0.1054548,0.0111207,0.2848,0.5035,0.18675,0.0423,0.1389
17,KARAULI,6352,0.1729,0.7726,0.3679208,0.1267099,0.0160554,0.45845,0.7569,0.33625,0.1729,0.257275,2009,Rabi       ,62737,228085,3.635573904,6352,0.1923,0.801,0.4211901,0.1484561,0.0220392,0.5482,0.801,0.3932,0.1923,0.2818,6352,0.0601,0.5657,0.2313266,0.0913619,0.008347,0.29625,0.5085,0.2076,0.0601,0.1502,6352,0.0797,0.5768,0.266982,0.1125441,0.0126662,0.361125,0.5768,0.2384,0.0797,0.1624
19,KARAULI,6352,0.1624,0.8183,0.3999056,0.1503094,0.0225929,0.51965,0.8183,0.37095,0.1624,0.263775,2010,Rabi       ,73134,285650,3.905844067,6352,0.1955,0.8237,0.4543589,0.155704,0.0242437,0.5836,0.8237,0.42935,0.1955,0.3141,6352,0.0794,0.6045,0.2443111,0.1105026,0.0122108,0.3291,0.6045,0.21665,0.0794,0.1433,6352,0.0885,0.6314,0.2814612,0.1208965,0.014616,0.3786,0.6314,0.25185,0.0885,0.1706
