File Name,Dataset,District,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_006__1_km_monthly_NDVI_doy2000032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2000,6349,0.1,0.7624,"(0.1,0.7624)",0.3324063,0.1200998,0.014424,0.397,0.6289,0.2861,0.1,0.2419
MOD13A3_006__1_km_monthly_NDVI_doy2001001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2001,6352,0.1662,0.7726,"(0.1662,0.7726)",0.3515314,0.1219804,0.0148792,0.42065,0.6641,0.309,0.1662,0.258
MOD13A3_006__1_km_monthly_NDVI_doy2001032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2001,6352,0.1428,0.8268,"(0.1428,0.8268)",0.3365811,0.134011,0.017959,0.40035,0.6445,0.28305,0.1428,0.2371
MOD13A3_006__1_km_monthly_NDVI_doy2002001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2002,6352,0.1708,0.7927,"(0.1708,0.7927)",0.3425282,0.1250202,0.01563,0.413125,0.665,0.2952,0.1708,0.2451
MOD13A3_006__1_km_monthly_NDVI_doy2002032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2002,6352,0.1581,0.8113,"(0.1581,0.8113)",0.3512688,0.1459303,0.0212957,0.42895,0.7125,0.2942,0.1581,0.239275
MOD13A3_006__1_km_monthly_NDVI_doy2003001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2003,6352,0.1246,0.8198,"(0.1246,0.8198)",0.3077523,0.1373013,0.0188516,0.36125,0.5864,0.2495,0.1246,0.2111
MOD13A3_006__1_km_monthly_NDVI_doy2003032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2003,6352,0.121,0.7956,"(0.121,0.7956)",0.292674,0.1501092,0.0225328,0.349625,0.5884,0.2216,0.121,0.19
MOD13A3_006__1_km_monthly_NDVI_doy2004001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2004,6352,0.1737,0.7954,"(0.1737,0.7954)",0.400307,0.1506488,0.0226951,0.525575,0.7954,0.3639,0.1737,0.2638
MOD13A3_006__1_km_monthly_NDVI_doy2004032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2004,6352,0.1579,0.8217,"(0.1579,0.8217)",0.3839796,0.1581149,0.0250003,0.513725,0.8217,0.33955,0.1579,0.241175
MOD13A3_006__1_km_monthly_NDVI_doy2005001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2005,6352,0.1114,0.779,"(0.1114,0.779)",0.3994804,0.1539516,0.0237011,0.52835,0.779,0.36225,0.1114,0.261675
MOD13A3_006__1_km_monthly_NDVI_doy2005032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2005,6352,0.1072,0.7463,"(0.1072,0.7463)",0.3541805,0.138665,0.019228,0.453325,0.7463,0.3162,0.1072,0.2341
MOD13A3_006__1_km_monthly_NDVI_doy2006001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2006,6352,0.1355,0.7986,"(0.1355,0.7986)",0.3769996,0.1478994,0.0218742,0.488925,0.7986,0.33825,0.1355,0.2447
MOD13A3_006__1_km_monthly_NDVI_doy2006032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2006,6352,0.1497,0.8085,"(0.1497,0.8085)",0.3459584,0.1374751,0.0188994,0.43025,0.7291,0.3063,0.1497,0.2299
MOD13A3_006__1_km_monthly_NDVI_doy2007001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2007,6352,0.1514,0.7867,"(0.1514,0.7867)",0.3493915,0.1446395,0.0209206,0.442325,0.7632,0.305,0.1514,0.227
MOD13A3_006__1_km_monthly_NDVI_doy2007032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2007,6352,0.1271,0.7927,"(0.1271,0.7927)",0.3384214,0.1487087,0.0221143,0.41725,0.701,0.2748,0.1271,0.2273
MOD13A3_006__1_km_monthly_NDVI_doy2008001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2008,6352,0.106,0.7954,"(0.106,0.7954)",0.3467375,0.1427382,0.0203742,0.4354,0.743,0.29765,0.106,0.2299
MOD13A3_006__1_km_monthly_NDVI_doy2008032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2008,6352,0.1492,0.7793,"(0.1492,0.7793)",0.3307446,0.1472092,0.0216706,0.41035,0.7027,0.2744,0.1492,0.2153
MOD13A3_006__1_km_monthly_NDVI_doy2009001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2009,6352,0.1923,0.801,"(0.1923,0.801)",0.4211901,0.1484561,0.0220392,0.5482,0.801,0.3932,0.1923,0.2818
MOD13A3_006__1_km_monthly_NDVI_doy2009032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2009,6352,0.1729,0.7726,"(0.1729,0.7726)",0.3679208,0.1267099,0.0160554,0.45845,0.7569,0.33625,0.1729,0.257275
MOD13A3_006__1_km_monthly_NDVI_doy2010001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2010,6352,0.1955,0.8237,"(0.1955,0.8237)",0.4543589,0.155704,0.0242437,0.5836,0.8237,0.42935,0.1955,0.3141
MOD13A3_006__1_km_monthly_NDVI_doy2010032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2010,6352,0.1624,0.8183,"(0.1624,0.8183)",0.3999056,0.1503094,0.0225929,0.51965,0.8183,0.37095,0.1624,0.263775
MOD13A3_006__1_km_monthly_NDVI_doy2011001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2011,6352,0.2056,0.8245,"(0.2056,0.8245)",0.4812562,0.1451407,0.0210658,0.609,0.8245,0.4666,0.2056,0.3491
MOD13A3_006__1_km_monthly_NDVI_doy2011032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2011,6352,0.194,0.8313,"(0.194,0.8313)",0.473767,0.16891,0.0285306,0.623725,0.8313,0.4574,0.194,0.3126
MOD13A3_006__1_km_monthly_NDVI_doy2012001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2012,6352,0.2008,0.7891,"(0.2008,0.7891)",0.4313847,0.1408131,0.0198283,0.5475,0.7891,0.41635,0.2008,0.2976
MOD13A3_006__1_km_monthly_NDVI_doy2012032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2012,6352,0.1471,0.7995,"(0.1471,0.7995)",0.3981459,0.1440715,0.0207566,0.509525,0.7995,0.37845,0.1471,0.2608
MOD13A3_006__1_km_monthly_NDVI_doy2013001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2013,6352,0.1835,0.778,"(0.1835,0.778)",0.4406385,0.1320692,0.0174423,0.554525,0.778,0.41785,0.1835,0.3198
MOD13A3_006__1_km_monthly_NDVI_doy2013032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2013,6352,0.1783,0.8462,"(0.1783,0.8462)",0.4457696,0.1527692,0.0233384,0.57165,0.8462,0.42135,0.1783,0.3046
MOD13A3_006__1_km_monthly_NDVI_doy2014001_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/01/2014,6352,0.2233,0.8347,"(0.2233,0.8347)",0.4917463,0.1497201,0.0224161,0.6251,0.8347,0.48415,0.2233,0.348
MOD13A3_006__1_km_monthly_NDVI_doy2014032_aid0001,_1_km_monthly_NDVI,Karauli,aid0001,01/02/2014,6352,0.1911,0.8388,"(0.1911,0.8388)",0.4830469,0.1581416,0.0250088,0.626425,0.8388,0.4797,0.1911,0.326575
