,January,February,District,Year,Oct_District,October,Oct_Year,November,December
0,0.2454369,0.2326298,AJMER,2001,AJMER,0.2994799,2001,0.2625195,0.2591539
1,0.2693583,0.2557405,AJMER,2002,AJMER,0.2249489,2002,0.2075606,0.2027954
2,0.205496,0.1907063,AJMER,2003,AJMER,0.3209642,2003,0.2584423,0.2522082
3,0.2498053,0.2400303,AJMER,2004,AJMER,0.3363989,2004,0.2751693,0.2713376
4,0.2689186,0.2509062,AJMER,2005,AJMER,0.386816,2005,0.2859984,0.2787913
5,0.264994,0.244088,AJMER,2006,AJMER,0.3431748,2006,0.2770837,0.2700348
6,0.2620107,0.2531788,AJMER,2007,AJMER,0.3310062,2007,0.2685272,0.2581616
7,0.2469373,0.2406542,AJMER,2008,AJMER,0.3106068,2008,0.2700704,0.2684398
8,0.2586396,0.2297172,AJMER,2009,AJMER,0.2594643,2009,0.2257502,0.2181761
9,0.2177551,0.1994601,AJMER,2010,AJMER,0.4095839,2010,0.3122305,0.2996557
10,0.2177551,0.1994601,AJMER,2010,AJMER,0.4095839,2010,0.3122305,0.2996557
11,0.2177551,0.1994601,AJMER,2010,AJMER,0.4095839,2010,0.3122305,0.2996557
12,0.2177551,0.1994601,AJMER,2010,AJMER,0.4095839,2010,0.3122305,0.2996557
13,0.3290407,0.3642978,AJMER,2011,AJMER,0.396419,2011,0.3210092,0.3240805
14,0.329651,0.3055809,AJMER,2012,AJMER,0.4449014,2012,0.3209648,0.3271497
15,0.3429131,0.35937,AJMER,2013,AJMER,0.4331359,2013,0.3582672,0.3721163
16,0.3972458,0.4082823,AJMER,2014,AJMER,0.4032825,2014,0.3324331,0.337122
17,0.3522815,0.3451298,AJMER,2015,AJMER,0.3376772,2015,0.2961275,0.2985781
18,0.3066142,0.2990558,AJMER,2016,AJMER,0.3869457,2016,0.3446182,0.3735472
19,0.3970261,0.3648372,AJMER,2017,AJMER,0.3425462,2017,0.311743,0.324383
20,0.3204959,0.2914723,AJMER,2018,AJMER,0.4485382,2018,0.3338587,0.3275309
21,0.3214622,0.3131149,AJMER,2019,AJMER,0.4665436,2019,0.3737159,0.4068314
22,0.4758188,0.4906419,ALWAR,2001,ALWAR,0.2760655,2001,0.2637221,0.3575184
23,0.4571151,0.5015357,ALWAR,2002,ALWAR,0.2630583,2002,0.2396483,0.3358164
24,0.4471324,0.5106315,ALWAR,2003,ALWAR,0.3583989,2003,0.3260042,0.4496542
25,0.5286513,0.5315181,ALWAR,2004,ALWAR,0.3400331,2004,0.3400709,0.4930634
26,0.5392913,0.5199963,ALWAR,2005,ALWAR,0.3614605,2005,0.3545037,0.4359789
27,0.5060748,0.4843223,ALWAR,2006,ALWAR,0.3220083,2006,0.3021952,0.4115657
28,0.5010909,0.532758,ALWAR,2007,ALWAR,0.338678,2007,0.2830803,0.4251799
29,0.4837596,0.4888769,ALWAR,2008,ALWAR,0.3490272,2008,0.376461,0.4801718
30,0.5477831,0.5191993,ALWAR,2009,ALWAR,0.3406813,2009,0.3161146,0.4574782
31,0.548981,0.5339612,ALWAR,2010,ALWAR,0.412671,2010,0.3706413,0.4955296
32,0.548981,0.5339612,ALWAR,2010,ALWAR,0.412671,2010,0.3706413,0.4955296
33,0.548981,0.5339612,ALWAR,2010,ALWAR,0.412671,2010,0.3706413,0.4955296
34,0.548981,0.5339612,ALWAR,2010,ALWAR,0.412671,2010,0.3706413,0.4955296
35,0.5625609,0.6044264,ALWAR,2011,ALWAR,0.3732608,2011,0.3499747,0.4580621
36,0.5346346,0.5161159,ALWAR,2012,ALWAR,0.4717625,2012,0.3618793,0.434543
37,0.5169027,0.5753361,ALWAR,2013,ALWAR,0.4425931,2013,0.3779785,0.5026104
38,0.5738891,0.6219397,ALWAR,2014,ALWAR,0.3786938,2014,0.3371426,0.4454396
39,0.5459137,0.5758906,ALWAR,2015,ALWAR,0.3529815,2015,0.3132069,0.4525203
