,Train_y,Train_DT,Train_RF,Train_NL,Train_SVR,Train_ANN
5,1.329723072,1.329723072,2.181160828020087,2.2140760013892775,2.0930019588650284,2.3282235
409,3.127593845,3.0560852450000002,3.04149734502763,3.0571342392023757,2.598685175713741,2.724567
185,1.804273135,2.2052028331428577,2.1642717183166345,2.2978920240707685,2.2722859053142033,2.412978
290,3.6233257610000003,3.6633538622307693,3.579474257088265,3.397191248470304,3.5988553575844833,3.521643
382,2.355714249,2.2052028331428577,2.303893861336247,2.5228963494686925,2.3213745365475953,2.480995
254,2.499012099,2.4555227255128202,2.3542939790024273,2.295457890009856,2.476562627421111,2.7545345
180,1.5562489959999999,2.2052028331428577,2.0823713826266603,2.2066300146265645,2.1947639436190025,2.3689675
97,2.308897905,2.2052028331428577,2.244822613069047,2.138594981317996,2.2861226666979,2.4405363
193,3.1786085219999998,3.1625800885,3.189493398342178,3.288492260069133,3.614148134708868,3.789193
367,2.9231914469999998,2.9599368535999995,3.12573494851932,3.0248694212796314,3.2761223025976447,3.2050807
103,1.764545016,2.2052028331428577,2.156264856998476,2.209041278877848,2.343718860275165,2.512551
397,2.637983955,2.4555227255128202,2.5076961690692587,2.454724212066549,2.44338846868638,2.5660455
368,3.268746005,3.362700593333333,3.4249845970649133,3.138246917989906,3.425452861282454,3.2894151
377,2.421830078,2.421830078,2.1638691276193267,2.201003748577998,2.0656167311917537,1.992158
307,2.2921784730000003,2.4555227255128202,2.3838409352827687,2.366984482057073,2.6101536268428136,2.6977997
79,2.58508916,2.58508916,2.7434325934510806,2.586780361409132,2.8712444414006475,2.8739574
24,3.0893784330000003,3.127928778,3.1550977153720607,3.4245678118254714,3.6093529760259444,3.784414
65,4.1247476789999995,4.1622637466666665,3.774558268717902,3.7585685180362782,3.6251003585228974,4.060563
114,2.9247559639999996,2.9599368535999995,3.255011858930232,2.993917749371316,3.343003418432004,3.2164686
224,1.7940554380000002,1.7940554380000002,1.7066013841097507,2.1931931614922995,2.0316221607936322,1.625638
207,2.401708625,2.401708625,2.3494915763558155,2.0946555696257034,2.0736323380399897,2.066311
131,4.462953299,4.462953299,4.317345961906346,4.0918441825326015,3.8688672955848737,4.383778
375,1.684189775,1.684189775,1.9196746309668453,2.167946390082741,2.0704446307411084,2.0203397
154,3.162860092,3.3109847662,3.144917291245577,3.064838020273638,3.2242435907091123,3.0782115
333,2.742156787,2.802281549,2.496114815849319,2.5312890729508988,2.2425858965924172,2.3750088
373,3.320369402,3.31058522975,3.3271097129315077,3.0444196859556625,3.2435210565624244,3.1484544
286,2.8663571,2.820123049333333,2.8406796026233323,2.969434905169922,2.745196455890869,2.774279
295,4.228811838,4.1622637466666665,3.9430881561604076,3.7508418623255073,3.616801409188202,3.9019964
208,2.7930642910000003,2.7773235400000003,2.404892260516138,2.148357961911346,2.0956293390754874,2.3807023
386,2.714554142,2.4555227255128202,2.4463754579934887,2.619808463133336,2.3527116166375928,2.5152369
177,1.834980237,2.2052028331428577,2.108250012726548,2.1907798549605886,2.260767352200806,2.4237978
401,2.501679507,2.574348923125,2.615708824337071,2.7806307483095507,2.66456210464822,2.7489307
165,3.5996102039999998,3.5411971186666666,3.6291409645741632,3.515351201422919,3.55868790151958,3.3992484
166,3.8136187039999996,3.6633538622307693,3.7646277049544077,3.493673290881291,3.5716865408240928,3.4410632
104,2.9503052210000003,2.9503052210000003,2.663433575546627,2.3993488921702566,2.967439375553176,2.9385157
391,2.89663814,3.0577677526,2.4848909053771666,2.7073077794652365,2.3811197346833604,2.5426285
