,Train_y
11,2.471521516
300,2.246055481
234,3.855142686
153,2.401703094
482,2.444178204
243,2.79393714
332,3.390619704
426,3.421305096
87,1.892995375
362,2.516309208
319,4.2460684980000005
331,2.8663571
158,2.761522672
154,2.7930188160000005
446,2.44865675
471,3.460796963
447,2.44865675
427,2.923191447
392,1.882177708
67,3.403719252
356,2.1622329280000003
17,2.113465296
84,3.811535987
438,2.643409108
141,3.394040533
254,1.307402671
419,3.173410473
240,2.401708625
421,2.923929159
290,2.0225954280000003
486,2.327327479
79,4.483135703
24,3.149196237
65,2.556303284
114,1.864020573
222,2.777035048
298,2.718666507
387,2.742156787
195,4.308185894
175,2.843613445
428,3.268746005
333,3.234892592
499,2.8399743010000003
442,2.355714249
197,2.646680518
430,3.490277024
396,2.025375919
464,2.501679507
318,3.905844067
233,3.961795085
210,1.556248996
104,2.054086749
411,3.916496818
179,2.492703231
258,1.392600288
135,3.275867589
268,3.245762946
156,2.793966344
251,1.181742199
342,4.184264436
73,3.319431563
40,3.645008943
182,2.8913902160000005
245,2.761582789
202,1.61175678
374,2.1309041840000003
483,3.303775567
305,2.35147232
479,2.173433211
219,2.458908155
379,3.111359675
69,3.763531762
83,3.645039849
400,3.483942143
32,3.749346473
3,1.95531373
168,2.094344074
13,3.23225335
196,4.3259767060000005
303,2.318184734
70,2.915486125
287,2.527527419
489,2.34048632
484,2.185144874
485,2.443163412
343,4.228811838
454,2.89663814
260,1.7940554380000002
397,2.7985407660000003
466,2.673270551
352,2.218248021
336,3.698029119
90,1.656128101
344,4.011390644
110,1.751684552
399,3.075771749
388,3.2521720380000003
138,3.528126997
380,2.234319331
439,1.85607362
302,1.968056519
193,3.813618704
273,3.336656114
137,3.634461125
335,3.623325761
163,1.875893093
100,2.592886008
398,2.58665295
52,1.5569788219999998
424,3.32326654
88,2.204595997
417,3.078176572
189,3.770274114
228,2.846659413
34,3.749346473
500,2.911555894
45,2.01579924
35,4.206663161
221,2.675647066
201,2.138309405
94,2.3747410490000003
346,3.904364554
187,3.47548716
345,2.05616289
132,2.924755964
1,1.823542153
159,1.703423744
383,2.601919208
93,3.146551655
321,3.913118395
487,2.107381734
113,2.10625
242,2.7090569060000003
281,3.829256885
241,2.7930642910000003
203,1.7458573
218,2.141516016
279,3.134963655
445,2.44865675
237,3.778883693
62,2.021896774
26,3.251062505
77,3.921272678
139,3.648396982
456,3.023807886
348,4.1706199680000005
404,3.460797472
301,1.929832844
494,2.456272875
23,3.0433453960000003
171,2.256808983
262,1.913011696
337,3.535060164
42,4.2937118860000005
106,3.598576487
212,1.716605827
468,2.673270551
323,3.627657951
142,3.394040533
314,3.635573904
425,3.32326654
82,4.306820086
371,2.839405971
116,1.40362588
473,3.423890715
465,2.605934601
257,0.97131227
261,1.802715047
148,2.131688932
128,2.497318502
449,2.714554142
145,4.536965854
164,1.875893093
277,3.2423217710000003
216,2.081190942
359,2.516309208
57,2.049016874
325,4.044151447
198,3.0293955230000003
488,2.34048632
76,3.921272678
39,3.459995526
390,2.966190667
209,1.7792835319999998
476,3.625737165
395,1.776833784
385,3.274876168
441,2.364897924
275,3.152501028
283,4.033330809
178,3.162860092
408,3.297713265
386,2.355268948
455,2.984576645
101,2.904353857
357,2.027272613
172,2.041259995
432,3.625119524
