,Train_y,Train_DT,Train_RF,Train_NL,Train_SVR,Train_ANN
5,1.329723072,1.329723072,2.1330135696464243,2.210760488135665,2.0923815331536955,2.0873647
409,3.127593845,3.0560852450000002,3.137016918673469,3.1160311324298187,2.5993168842185956,2.8830132
185,1.804273135,2.2052028331428577,2.21051061696012,2.289901681646069,2.272128694014395,2.6496835
290,3.6233257610000003,3.4994052576666665,3.547942508339938,3.3800476753504283,3.599532458295339,3.6488366
382,2.355714249,2.2052028331428577,2.308910204092096,2.4908937011581616,2.3213653249333572,2.5869966
254,2.499012099,2.4555227255128202,2.366345811090044,2.2968520800622505,2.4769707783181336,2.8060822
180,1.5562489959999999,2.2052028331428577,2.0665588058995557,2.1635874953968015,2.1943828719037666,2.3692727
97,2.308897905,2.2052028331428577,2.316461610024453,2.131700268367365,2.2860071651894143,2.5675073
193,3.1786085219999998,3.1898295628,3.152963159455314,3.318418446083208,3.614673862144088,3.8597283
367,2.9231914469999998,2.8156586800000003,3.136443034088069,3.0498325989923503,3.276820103542209,3.2653298
103,1.764545016,2.2052028331428577,2.2818519754577866,2.2079895932753333,2.3437761516477598,2.6102967
397,2.637983955,2.4555227255128202,2.427564214691216,2.4467359077871675,2.443718425469559,2.7481828
368,3.268746005,3.271116113,3.3257503772469197,3.1822133088490085,3.4260965489872945,3.4534097
377,2.421830078,2.421830078,2.2017910537103313,2.184428809654979,2.064946249601459,2.02698
307,2.2921784730000003,2.4555227255128202,2.366345811090044,2.36577569190517,2.6108012222192305,2.8440232
79,2.58508916,2.58508916,2.736313515591266,2.557221756802183,2.8720635054348116,2.9909463
24,3.0893784330000003,3.0893784330000003,3.276657332765065,3.420446658035142,3.609734898765201,3.946795
65,4.1247476789999995,4.219341352833333,3.749500469796066,3.7626929566863003,3.6247126533333933,4.230761
114,2.9247559639999996,2.9247559639999996,3.150194236890351,3.00734043093063,3.343672905112259,3.3287835
224,1.7940554380000002,1.7940554380000002,1.6998380040335603,2.1660516171512283,2.030898521825027,1.7158313
207,2.401708625,2.401708625,2.3549911353225728,2.1037945840678125,2.0729758455998923,2.0316167
131,4.462953299,4.462953299,4.288845559485566,4.135556855524235,3.8674642393970338,4.591601
375,1.684189775,1.684189775,1.9448719351812627,2.149371308168571,2.0697824988872857,2.0690293
154,3.162860092,3.304078659285714,3.123125965928785,3.0539281414650086,3.2249652071047703,3.3314233
333,2.742156787,2.802281549,2.4661813171600557,2.588931934034739,2.2423403335105623,2.68426
373,3.320369402,3.2982315655,3.2651086109859455,3.075736205101438,3.2442337549380444,3.2766213
286,2.8663571,2.820123049333333,2.739958979903869,2.9076656456191357,2.745973167736994,3.0312753
295,4.228811838,4.219341352833333,4.057956654247862,3.8217440403459184,3.6165745744287765,4.330004
208,2.7930642910000003,2.7773235400000003,2.3678496544011236,2.1665336911849478,2.0950140515834375,2.1129518
386,2.714554142,2.4555227255128202,2.4370546923329623,2.576199299414612,2.352795308585819,2.628573
177,1.834980237,2.2052028331428577,2.154488911370033,2.1720494651974755,2.2605756776963806,2.5187058
