,Oct_Minimum,Oct_Maximum,Oct_Mean,Oct_Standard Deviation,Oct_Variance,Oct_Upper Quartile,Oct_Upper 1.5 IQR,Oct_Median,Oct_Lower 1.5 IQR,Oct_Lower Quartile,Oct_District,Oct_Year,Nov_Minimum,Nov_Maximum,Nov_Mean,Nov_Standard Deviation,Nov_Variance,Nov_Upper Quartile,Nov_Upper 1.5 IQR,Nov_Median,Nov_Lower 1.5 IQR,Nov_Lower Quartile,Nov_District,Nov_Year,Dec_Minimum,Dec_Maximum,Dec_Mean,Dec_Standard Deviation,Dec_Variance,Dec_Upper Quartile,Dec_Upper 1.5 IQR,Dec_Median,Dec_Lower 1.5 IQR,Dec_Lower Quartile,Dec_District,Dec_Year
0,-0.134,0.6335,0.3304543,0.0660353,0.0043607,0.367325,0.4862,0.328,0.1713,0.288,Karauli,2000,-0.1175,0.5206,0.2687305,0.0379718,0.0014419,0.2906,0.3602,0.2661,0.1761,0.2441,Karauli,2000,0.0485,0.716,0.3032627,0.0728216,0.005303,0.3291,0.4395,0.2847,0.1466,0.2555,Karauli,2000
1,0.0033,0.56,0.2885507,0.0515138,0.0026537,0.3174,0.4101,0.2862,0.1649,0.2554,Karauli,2001,0.133,0.4547,0.2684096,0.0401383,0.0016111,0.2901,0.364,0.26465,0.1675,0.2407,Karauli,2001,0.149,0.6636,0.2943729,0.0741028,0.0054912,0.3253,0.4515,0.2734,0.149,0.2411,Karauli,2001
2,0.0732,0.5277,0.2542188,0.0447074,0.0019987,0.2784,0.3622,0.2481,0.1482,0.222375,Karauli,2002,0.1332,0.3769,0.2290804,0.0331772,0.0011007,0.2489,0.3154,0.2242,0.1463,0.2045,Karauli,2002,0.1364,0.7422,0.2618443,0.0945595,0.0089415,0.282,0.4013,0.2301,0.1364,0.2024,Karauli,2002
3,-0.1075,0.6501,0.3582216,0.0709657,0.0050361,0.4018,0.5387,0.3542,0.184,0.3105,Karauli,2003,-0.0864,0.6164,0.3054756,0.0496625,0.0024664,0.3327,0.4245,0.3002,0.1803,0.271375,Karauli,2003,0.1234,0.7378,0.3543017,0.0959092,0.0091986,0.4031,0.5824,0.3346,0.1234,0.283375,Karauli,2003
4,-0.1747,0.6274,0.3332248,0.0697514,0.0048653,0.3812,0.5279,0.3319,0.1426,0.2828,Karauli,2004,-0.1157,0.7148,0.3172882,0.0637716,0.0040668,0.35205,0.4701,0.3104,0.1598,0.2733,Karauli,2004,0.1311,0.7517,0.3792176,0.1200084,0.014402,0.4721,0.7517,0.35195,0.1311,0.280875,Karauli,2004
5,-0.1414,0.5971,0.3255609,0.0687218,0.0047227,0.3705,0.5097,0.326,0.1516,0.277625,Karauli,2005,-0.0647,0.6206,0.3156898,0.0616218,0.0037972,0.3502,0.4684,0.3064,0.1601,0.2714,Karauli,2005,0.1551,0.7465,0.3587993,0.1076948,0.0115982,0.4395,0.6923,0.33705,0.1551,0.2668,Karauli,2005
6,0.1097,0.5478,0.2706093,0.0440622,0.0019415,0.296325,0.3802,0.2667,0.1573,0.240175,Karauli,2006,0.0627,0.5878,0.2785637,0.0508982,0.0025906,0.3032,0.3929,0.2698,0.1548,0.2434,Karauli,2006,0.1182,0.7009,0.3141849,0.0950201,0.0090288,0.37375,0.577,0.2873,0.1182,0.2379,Karauli,2006
7,-0.1877,0.5607,0.2980266,0.0541665,0.002934,0.3285,0.4323,0.2918,0.1612,0.2589,Karauli,2007,0.0872,0.4337,0.2599557,0.0367314,0.0013492,0.2811,0.3518,0.2548,0.1631,0.2336,Karauli,2007,0.0774,0.7486,0.315744,0.1033131,0.0106736,0.359,0.5355,0.2827,0.0774,0.2413,Karauli,2007
8,0.1083,0.5972,0.3436927,0.0616682,0.003803,0.3821,0.5035,0.343,0.1802,0.3011,Karauli,2008,0.164,0.654,0.3436834,0.0570544,0.0032552,0.374125,0.4795,0.3336,0.1986,0.3038,Karauli,2008,0.1863,0.7282,0.4008008,0.1157453,0.013397,0.4983,0.7282,0.3751,0.1863,0.298175,Karauli,2008
9,-0.0883,0.655,0.3717901,0.0687791,0.0047306,0.4148,0.5496,0.3697,0.1989,0.324775,Karauli,2009,0.124,0.6459,0.3468711,0.0585117,0.0034236,0.380725,0.4938,0.3416,0.2082,0.304475,Karauli,2009,0.2176,0.7873,0.4281712,0.101863,0.0103761,0.5042,0.7388,0.4152,0.2176,0.3467,Karauli,2009
