,Train_y,Train_DT,Train_RF,Train_NL,Train_SVR,Train_ANN
5,1.329723072,1.427584135470588,2.091531758632454,2.222310659581047,1.7045303606078432,2.1373222
409,3.127593845,2.939395094599999,3.2019857953237865,2.994848003043085,3.1140982780751214,2.8702016
185,1.804273135,2.385072083983333,2.1754164874984743,2.0951686303505905,1.8684021254984158,1.8531884
290,3.6233257610000003,3.448789507945947,3.5675597021083734,3.363122125208861,3.6543823306166034,3.0664587
382,2.355714249,2.385072083983333,2.3177020668154857,2.349235606884921,2.377449247764413,2.5341372
254,2.499012099,2.385072083983333,2.533959182958419,2.4389946897483608,2.5463867661941064,2.52619
180,1.5562489959999999,2.385072083983333,2.107512460193292,2.1010574331107943,1.6922255009016416,1.9355955
97,2.308897905,2.385072083983333,2.3251532647913473,2.013973221379228,2.327801761107323,2.574922
193,3.1786085219999998,3.114966246736842,3.2069207060010703,3.263319922024836,3.2197745312016157,2.8692534
367,2.9231914469999998,3.6259361452,3.221331050638353,3.1715477634630638,2.968324271621497,2.679159
103,1.764545016,2.385072083983333,2.2166467550892093,2.1118578702374027,1.7436050009264994,1.5199218
397,2.637983955,2.385072083983333,2.501591712007984,2.5115896083857967,2.6586712068026968,2.3918636
368,3.268746005,3.114966246736842,3.4271694742193555,3.2128729918316647,3.3182804973192566,2.9069111
377,2.421830078,2.0276811368000005,2.24006017270439,2.2945473035564374,2.194616213453247,2.0704045
307,2.2921784730000003,2.385072083983333,2.3206086298596733,2.387259705754164,2.3088979745504394,2.2061148
79,2.58508916,3.114966246736842,2.654678853368809,2.6042664074264055,2.624407478751471,2.3353841
24,3.0893784330000003,3.448789507945947,3.3064751806951875,3.246217127864986,3.1163713768430603,3.0398731
65,4.1247476789999995,3.91633449284,3.838462573770421,3.939939639650655,4.1170338446828785,3.390254
114,2.9247559639999996,3.114966246736842,3.0509409469628213,2.829191974349353,2.9641180507531493,2.66176
224,1.7940554380000002,1.427584135470588,1.6982300354021098,1.7878651464987323,2.0367175907138586,1.3665977
207,2.401708625,2.583532390833333,2.249392127910913,2.113604113054805,2.199732800469188,2.4101968
131,4.462953299,4.387836045777778,4.2776934696907745,4.272993320210871,4.414038828077793,3.6680608
