,Train_y,Train_DT,Train_RF,Train_NL,Train_SVR,Train_ANN
11,2.471521516,1.7743052048499997,2.2960106075709246,2.449752402145521,2.2445759086974046,2.8461213
300,2.246055481,2.1592008377575755,2.3113104538140528,2.3684980332303924,2.255937960809492,2.2955246
234,3.855142686,3.3602664283749992,3.7642975835977746,3.854798415733521,3.871908605772809,5.567264
153,2.401703094,2.2828523138125,2.2920758686197966,2.1418027047544252,2.306116086966936,2.1532712
482,2.444178204,2.2828523138125,2.342442529105812,2.3470598965376595,2.438757243205549,2.23806
243,2.79393714,2.2828523138125,2.2378856962881755,2.6942478022856546,2.251500543305868,3.306333
332,3.390619704,3.440468554241935,3.3475157742486825,3.140967461396503,3.406916774159397,3.265645
426,3.421305096,3.3602664283749992,3.3963958982551805,3.348489596521502,3.4604289500858894,3.530201
87,1.892995375,2.2828523138125,2.093583467112852,2.101795001232071,1.9092961856606774,2.0094948
362,2.516309208,2.5880331970416672,2.447092789590921,2.61047520346568,2.5550754073210076,2.507917
319,4.2460684980000005,3.440468554241935,3.9004947827300565,4.262304292599409,4.1188214397278085,3.7913775
331,2.8663571,2.5880331970416672,2.6039823844809904,3.0064282900843216,2.934306556010922,2.86826
158,2.761522672,2.2828523138125,2.391608891615607,2.4952890173620474,2.441600602683936,2.6655822
154,2.7930188160000005,2.2828523138125,2.464992600115957,2.111462356133937,2.3622225795209193,2.507568
446,2.44865675,2.566657392391304,2.3451820769736345,2.442793728949593,2.3308668978608704,2.2094932
471,3.460796963,3.440468554241935,3.342131314177186,3.231544918874214,3.4705704401051864,3.2467895
447,2.44865675,2.566657392391304,2.3451820769736345,2.442793728949593,2.3308668978608704,2.2094932
427,2.923191447,3.3602664283749992,3.188981109427424,3.114574611307287,2.9686136508862493,3.351647
392,1.882177708,2.1592008377575755,2.2165990827163657,2.348530008001112,1.8275294136381088,2.1254878
67,3.403719252,3.440468554241935,3.4819961719964017,3.362635175920248,3.4604827364346677,3.8590822
356,2.1622329280000003,2.1592008377575755,2.3429256175767175,2.3849350567718393,2.125250805178153,2.2712731
17,2.113465296,2.1592008377575755,2.339803690416263,2.722491144555803,2.1122512988518043,2.1230068
84,3.811535987,3.9110202070357145,3.8986000384959283,3.9148176054193753,3.849393059784051,4.542698
438,2.643409108,2.566657392391304,2.3076394519066694,2.508766471366126,2.523497209644651,2.7344866
141,3.394040533,3.440468554241935,3.4231354864990515,3.338112399583092,3.4394549631472007,3.6635299
254,1.307402671,1.7743052048499997,1.6599046433063978,1.4461262410220477,1.8728259325230514,1.5334581
419,3.173410473,3.3602664283749992,3.189833189282875,3.0696845664544528,3.2283165666439047,3.5134506
240,2.401708625,2.2828523138125,2.3459430666163597,1.958309807805282,2.249370336289486,2.5369382
421,2.923929159,2.7970935409444446,3.0772804211892706,2.9253775415880305,2.9837892116929066,3.208323
290,2.0225954280000003,1.7743052048499997,2.0581180148414315,2.195976440282009,2.094569145553562,2.2674417
486,2.327327479,2.1592008377575755,2.393278814547147,2.4962969691316,2.325232611667472,2.5035338
79,4.483135703,3.9110202070357145,4.117725821374218,4.3456254389500835,4.445271758879821,5.9874806
