,Train_y,Train_DT,Train_RF,Train_NL,Train_SVR,Train_ANN
5,1.329723072,1.427584135470588,2.091531758632454,2.227655013497005,1.704555489265429,1.6112385
409,3.127593845,2.939395094599999,3.2019857953237865,2.9835637121405183,3.1143520599988737,4.1919413
185,1.804273135,2.385072083983333,2.1754164874984743,2.090463260545385,1.8682107604908946,2.491365
290,3.6233257610000003,3.448789507945947,3.5675597021083734,3.3531581917169193,3.654865917838791,6.3817854
382,2.355714249,2.385072083983333,2.3177020668154857,2.3475227438091935,2.3771422270751916,3.0843947
254,2.499012099,2.385072083983333,2.533959182958419,2.4471962617383385,2.5463593201461006,3.5440567
180,1.5562489959999999,2.385072083983333,2.107512460193292,2.1135124571179977,1.6921179966957016,1.9558172
97,2.308897905,2.385072083983333,2.3251532647913473,2.0142738249294814,2.327463856015127,2.94971
193,3.1786085219999998,3.114966246736842,3.2069207060010703,3.2687796566700635,3.2198520259401673,7.2373133
367,2.9231914469999998,3.6259361452,3.221331050638353,3.175866120698342,2.9690214306602893,5.241342
103,1.764545016,2.385072083983333,2.2166467550892093,2.1231171738116164,1.743466916255704,2.5232396
397,2.637983955,2.385072083983333,2.501591712007984,2.51721890628432,2.6585501135554335,3.5537314
368,3.268746005,3.114966246736842,3.4271694742193555,3.1995661272111446,3.319031085033947,5.9067783
377,2.421830078,2.0276811368000005,2.24006017270439,2.297988943347833,2.1944041864921306,2.3072248
307,2.2921784730000003,2.385072083983333,2.3206086298596733,2.376362112349482,2.3090958964083637,3.532062
79,2.58508916,3.114966246736842,2.654678853368809,2.610577016550497,2.6249828601396867,4.23351
24,3.0893784330000003,3.448789507945947,3.3064751806951875,3.2577042763848842,3.1163979727136217,7.268504
65,4.1247476789999995,3.91633449284,3.838462573770421,3.933774105781633,4.117365332085306,7.704497
114,2.9247559639999996,3.114966246736842,3.0509409469628213,2.8252843930369105,2.964722669295689,5.3647785
224,1.7940554380000002,1.427584135470588,1.6982300354021098,1.7604479481512687,2.036672347513642,1.6214519
207,2.401708625,2.583532390833333,2.249392127910913,2.160698825221579,2.199504106274526,2.3843818
131,4.462953299,4.387836045777778,4.2776934696907745,4.263687509444018,4.413967112934176,8.936663
375,1.684189775,2.0276811368000005,1.9670171522233266,1.9828522161838693,1.9702664053833754,1.7991378
154,3.162860092,3.448789507945947,3.2792013288527766,3.244539627282906,3.2214828146726138,5.3608966
333,2.742156787,2.385072083983333,2.3039515921681106,2.7119340634432545,2.543779841417111,3.16788
373,3.320369402,3.114966246736842,3.2047599443744823,3.2257986067537923,3.368852498084239,5.5403175
286,2.8663571,2.385072083983333,2.845335073261654,2.9584606455207014,2.9339491523538417,4.3077855
295,4.228811838,3.91633449284,4.033395912351299,4.206460421514701,4.19595464700863,7.658476
208,2.7930642910000003,2.385072083983333,2.506905053106398,2.2546664785320543,2.3174984775259855,2.510342
386,2.714554142,2.939395094599999,2.634847930187095,2.648655372364831,2.6544584689242843,3.3962133
177,1.834980237,2.385072083983333,2.115084849675738,1.8798277616904304,1.9120511795869266,2.4728832
401,2.501679507,2.385072083983333,2.3900782370083884,2.6317236307451255,2.5529568275174466,3.8324597
165,3.5996102039999998,3.448789507945947,3.6382129993741197,3.4975967519863476,3.6274249126716445,6.1616187
166,3.8136187039999996,3.448789507945947,3.775517755892982,3.577097145848099,3.8078633247789417,5.982039
104,2.9503052210000003,2.7637583988,2.759129980269326,2.529954902134354,3.019665989209111,4.729091
391,2.89663814,2.385072083983333,2.491156506096308,2.62449915699895,2.7968118624663223,3.5677092
195,3.5617256719999997,3.91633449284,3.563119697906642,3.506270518868747,3.6118446277893543,9.6082535
135,2.7939663439999998,2.385072083983333,2.3964756784509342,2.4391617124262277,2.3181874869104444,2.5096693
274,4.2460684980000005,3.448789507945947,3.7946971835488665,4.066521738075308,4.113501429385537,5.924316
202,4.168860917,3.91633449284,3.9688660101294486,4.077407233866324,4.2167156444503275,13.111157
305,2.699965226,2.385072083983333,2.3830207926724314,2.440537544635763,2.764456425397235,4.254558
73,4.44757959,4.387836045777778,4.247194100917535,4.242421037802639,4.421601633618761,9.514903
40,1.480886819,2.385072083983333,1.8187152014488275,1.7721527517698386,1.4793444420583075,1.7835956
425,2.456272875,2.385072083983333,2.6056526843444505,2.761601965560085,2.4978798983477777,3.8234634
268,3.277459595,2.939395094599999,3.10160364832627,3.026108267765248,3.234856368237976,4.3108277
415,2.287747269,2.385072083983333,2.354427110744513,2.197580903525213,2.21368075790682,2.571644
175,1.61175678,2.385072083983333,2.0216670201941187,1.8969237479721484,1.7571060801447285,2.1409492
403,2.673270551,2.385072083983333,2.571663050408881,2.767505786750646,2.643895564318486,3.474995
69,4.363411087,3.91633449284,4.113414239100547,4.038893432202136,4.313327848643116,8.206787
251,2.0225954280000003,2.385072083983333,2.182599080363287,2.1299304164159736,2.093288430297184,2.6054487
407,3.423890715,2.939395094599999,3.112505814744028,3.1404000972201978,3.4037625491901977,4.5372677
32,3.964074042,3.91633449284,4.041611969015606,4.158188443170576,3.9995427309712435,10.25021
3,1.95531373,2.385072083983333,2.229281520393275,2.159453009258897,2.0697577026717813,2.414611
13,3.447732143,2.939395094599999,3.2188313818034393,3.1097014018007183,3.4085605012976163,4.4318123
186,2.081190942,2.385072083983333,2.206834012208833,2.143677020868818,2.1295313360000865,2.768316
70,4.306820086,3.91633449284,4.158892805530338,4.290699710859275,4.297149299405888,8.98458
289,3.634388297,3.114966246736842,3.5306748226597713,3.3387796806534586,3.635905815141747,5.294399
318,2.543518761,2.385072083983333,2.328522508039231,2.5772051615299425,2.601918456315529,3.8025672
420,2.327327479,2.385072083983333,2.268357247872423,2.5170735199887977,2.329370299840333,3.7067256
298,3.904364554,3.448789507945947,3.811757445808616,3.81071306277577,3.915375433382117,6.8240604
394,1.539416556,1.8024668081999997,2.19850892291534,2.2892316026225243,1.3195339827981218,2.4052463
