year,NDVI-Oct,NDVI-Nov,NDVI-Dec,NDVI-Jan,NDVI-Feb,NDVI-Mar,NDVI-Apr,NDVI-May,EVI-Oct,EVI-Nov,EVI-Dec,EVI-Jan,EVI-Feb,EVI-Mar,EVI-Apr,EVI-May,LAI-Oct,LAI-Nov,LAI-Dec,LAI-Jan,LAI-Feb,LAI-Mar,LAI-Apr,LAI-May,Rainfall,Area,Production,Yield
2000,0.253092408,0.205477343,0.214600164,0.231617781,0.225766536,0.201072162,0.166901315,0.146277654,0.168544547,0.132783356,0.138433832,0.150868969,0.151159435,0.137190763,0.114985743,0.102854421,0.324953573,0.263250689,0.261207697,0.346547234,0.391012427,0.309921626,0.238322793,0.227154166,37.80943,27.49,76.37,2778
2001,0.252049579,0.220224717,0.22780963,0.250651431,0.248579278,0.230733962,0.169408334,0.146951121,0.165846484,0.140879029,0.145380651,0.16355985,0.167072437,0.158621707,0.118505162,0.103026761,0.324953573,0.2675384,0.261207697,0.346547234,0.391012427,0.309921626,0.238322793,0.227154166,45.907669,25.73,69.68,2708
2002,0.200088224,0.178285047,0.187110809,0.206101168,0.207492282,0.194706458,0.161110413,0.138827615,0.134577379,0.115123472,0.120288345,0.131458798,0.139568162,0.1341992,0.111804546,0.097714156,0.324953573,0.263250689,0.261207697,0.346547234,0.391012427,0.309921626,0.238322793,0.227154166,20.676182,26.34,72.77,2762
2003,0.299165494,0.242214887,0.252125517,0.266659765,0.261026795,0.227541866,0.168697941,0.1597929,0.197742404,0.158817801,0.163915109,0.173033446,0.172934322,0.154693903,0.117378372,0.110974489,0.49654828,0.3772729,0.380180318,0.346547234,0.391012427,0.309921626,0.238322793,0.227154166,48.679591,25.2,65.76,2610
2004,0.267995246,0.233796807,0.252086741,0.263572591,0.252415418,0.225390714,0.164786771,0.154183925,0.172130693,0.148147091,0.161418251,0.171633277,0.167870304,0.151651897,0.112510338,0.106999793,0.442536348,0.359554276,0.402657025,0.48783806,0.516810393,0.341925531,0.252869652,0.407803706,41.511458,26.59,72.16,2713
2005,0.296143972,0.238595184,0.244888414,0.255161945,0.245132733,0.210754544,0.164522072,0.147785013,0.196240112,0.154161855,0.158483071,0.168875511,0.165705533,0.141588135,0.112438627,0.102568822,0.53064387,0.392043154,0.386439973,0.518146554,0.489010622,0.348335334,0.256611323,0.255910877,43.397656,26.38,68.64,2602
2006,0.270447976,0.241069865,0.257105928,0.272435373,0.267723664,0.234963364,0.18565242,0.162514736,0.178645111,0.154648824,0.165960611,0.180417304,0.175351651,0.154543047,0.126177874,0.113756139,0.457919738,0.381729221,0.423684386,0.496079593,0.476938501,0.32224723,0.251118247,0.255975376,50.427344,26.48,69.35,2619
2007,0.288058211,0.232086503,0.246437353,0.260172082,0.2526931,0.227079605,0.173423247,0.158299134,0.192509994,0.150544562,0.158858854,0.170309354,0.171186049,0.154262222,0.118173467,0.109260515,0.472411121,0.350242957,0.365935035,0.541432672,0.531705381,0.3731525,0.280445141,0.275158042,40.602344,27.99,75.81,2708
2008,0.269547944,0.241286179,0.26169445,0.272595936,0.252552462,0.215984997,0.166816648,0.151305329,0.175850463,0.153952112,0.16666487,0.176006122,0.167223169,0.146345423,0.112947713,0.103940448,0.446324895,0.365608375,0.410525476,0.478498498,0.532172034,0.391602503,0.2675384,0.460726957,44.523698,28.04,78.57,2802
2009,0.241484695,0.217260806,0.240780222,0.258629074,0.241380173,0.21369693,0.155143232,0.143590695,0.160011425,0.136782566,0.153860518,0.166152525,0.156617545,0.140965236,0.107092729,0.099540658,0.392199713,0.328299251,0.379018676,0.500583163,0.481721048,0.308944031,0.263020433,0.245719289,31.496094,27.75,80.68,2907
